review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
es_comer-balneario-paracuellos-jiloca_comment-1424,id_0,Nosotros también pasamos un par de noches en el Balneario con circuito y pensión completa y desde luego los menús dejaron bastante que desear.,menús negative,We also spent a couple of nights at the Spa with circuit and full board and of course the menus left a lot to be desired.,menus negative
es_la-scala-zaragoza_comment-3544,id_1,"Estuvimos muy agusto y cenamos muy bien, el menu de temporada, con algun plato de carta que luego nos ajustaron como de menu.",menu de temporada positive,"We were very comfortable and had a very good dinner, the seasonal menu, with some menu items that were later adjusted as a menu.",seasonal menu positive
es_salamanca_28_JuanCarlosEnguixPeiro_2014-05-10,id_1,"El servicio de los camareros, excelente, muy profesionales.",servicio positive,"The service of the waiters, excellent, very professional.",service positive
es_barceloneta_128_MariaCantero_2008-04-01,id_0,excelemte cocina y excelente servicio,cocina positive <sep> servicio positive,excellent cuisine and excellent service,kitchen room positive <sep> service positive
es_real-el-zaragoza_comment-4330,id_1,"elegimos menu degustación, con aperitivo, entrante, un pescado, una carne y dos postres, y todos ellos muy bien presentados y realmente estaba todo buenísimo, incluso el solomillo con miel estaba en su punto.",menu positive <sep> solomillo positive <sep> aperitivo positive <sep> entrante positive <sep> pescado positive <sep> carne positive <sep> postres positive,"We chose a tasting menu, with an appetizer, a starter, a fish, a meat and two desserts, and all of them were very well presented and it was really all great, even the sirloin with honey was just right.",menu positive <sep> sirloin positive <sep> appetizer positive <sep> incoming positive <sep> fish positive <sep> meat positive <sep> desserts positive
es_barceloneta_144_Sergio_2006-10-30,id_2,"La comida, excepcional para mi gusto.",comida positive,"The food, exceptional for my taste.",meal positive
es_la-scala-zaragoza_comment-4006,id_1,Afirmar que en ese local se pueden degustar verdaderas delicias es una auténtica temeridad.,delicias negative,To affirm that in this place you can taste real delicacies is a real recklessness.,delight negative
es_balmes_rossello_85_AlbertRiusPrieto_2012-09-09,id_0,"Nos gustó mucho el lugar, muy biuen ambiente, tranquilo, muy buen servicio.",lugar positive <sep> ambiente positive <sep> servicio positive,"We really liked the place, very good atmosphere, quiet, very good service.",place positive <sep> environment positive <sep> service positive
es_cafe_casa_lletres_20_NataliaArizcuren_2014-09-25,id_0,"El restaurante, fenomenal, tanto la comida con el servicio.",comida positive <sep> servicio positive,"The restaurant, phenomenal, both the food with the service.",meal positive <sep> service positive
es_bal-donsera-zaragoza_comment-3493,id_10,"- Carrillera de ternera glaseada: Blanda como la mantequilla pero no sabia a nada de nada, totalmente insulsa.",Carrillera de ternera glaseada negative,"- Glazed veal cheek: Soft like butter but it didn't taste like anything at all, totally bland.",Glazed veal cheek negative
es_balmes_rossello_12_LauraRamosMartinez_2015-02-23,id_2,Algo caro para el conjunto del restaurante.,restaurante negative,Somewhat expensive for the whole restaurant.,restaurant negative
es_comer-balneario-paracuellos-jiloca_comment-3434,id_0,"1/02/2012 No se como puede la gente quejarse de la comida en el restaurante del balneario,nosotros estuvimos 9 dias y la comida fue variada muy abundante y exquisita.",comida positive,"02/1/2012 I don't know how people can complain about the food in the spa restaurant, we stayed for 9 days and the food was varied, very abundant and exquisite.",meal positive
es_maur_muntaner_5_RafaRiveroDiaz_2015-02-23,id_0,CalÇots...y Alcachofas...sublimes ..creo que los mejores en Barcelona ciudad...,CalÇots positive <sep> Alcachofas positive,CalÇots ... and Artichokes ... sublime ... I think the best in Barcelona city ...,CalÇots positive <sep> Artichokes positive
es_l_olive_39_FranciscoDeHaro_2010-12-12,id_2,"El servicio es atento y rápido, sin ser en ningún momento agobiante.",servicio positive,"The service is attentive and prompt, without ever being overbearing.",service positive
es_la-scala-zaragoza_comment-4705,id_3,"Comida elaborada y sabrosa, cantidades generosas y servicio perfecto.",Comida positive <sep> cantidades positive <sep> servicio positive,"Elaborate and tasty food, generous amounts and perfect service.",Meal positive <sep> quantities positive <sep> service positive
es_l_olive_42_Manuel_2010-11-13,id_0,"La calidad de la comida no  corresponde al precio, además las mesas estan demasiado juntas y oyes sin quere todas las conversaciones de alrededor.",comida negative <sep> mesas negative,"The quality of the food does not correspond to the price, also the tables are too close together and you listen without wanting to all the conversations around you.",meal negative <sep> tables negative
es_bodega-de-chema-la-zaragoza_comment-4372,id_3,Un detalle poder llevarse la comida que sobraba (iba con una persona mayor que no come mucho y le han puesto la corvina sobrante en un envase).,detalle positive,A detail to be able to take the food that was left over (I went with an elderly person who does not eat much and they have put the leftover sea bass in a container).,detail positive
es_9reinas_8_MaraKacic_2014-12-08,id_0,Deberían revisar las raciones que sirven: son realmente escasas!!,raciones negative,They should check the portions they serve: they are really scarce !!,servings negative
es_neguri-zaragoza_comment-3584,id_2,no volvere.,no volvere negative,I will not come back.,I will not come back negative
es_barceloneta_47_Fast_65_2012-12-07,id_2,"Servicio tan atento que al final se hace pesado, urgencia por vaciar los platos de los entrantes compartidos queriendo continuamente servirnos.",Servicio negative,"Service so attentive that in the end it becomes heavy, urgency to empty the plates of the shared starters, continually wanting to serve us.",Service negative
es_9reinas_40_RichardHobohm_2013-01-03,id_0,"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.",Servicio positive <sep> platitos para el pan negative,"Very good service, little plates for the bread are missing, but despite that, everything is correct.",Service positive <sep> little plates for bread negative
es_la-despensa_comment-1887,id_2,"nos sorprendio los precios tan altos, 3,5€ una croqueta.",croqueta negative,"We were surprised by the high prices, € 3.5 a croquette.",croquette negative
es_balmes_rossello_16_AlbertAlonso_2015-02-17,id_0,"Comida - 6.5 ( el plato principal, los calsots, costaban de pelar debido a que la raíz no estaba cortada y su calidad no era muy buena.",Comida positive <sep> calsots negative,"Food - 6.5 (the main dish, calsots, were difficult to peel because the root was not cut and its quality was not very good.",Meal positive <sep> calsots negative
es_cullera_de_boix_33_JoaquinAdellCalduch_2013-07-29,id_2,"La cocina mejorable, al lado de platos excelentes por ejemplo el bacalao, otros no tanto como el atun, demasiado hecho.Aplicaron correctamente el descuento promocional.",cocina neutral <sep> bacalao positive <sep> atun negative <sep> descuento promocional positive,"The cuisine could be improved, next to excellent dishes such as cod, others not so much like tuna, too well done.The promotional discount was correctly applied.",kitchen room neutral <sep> Cod positive <sep> tuna negative <sep> promotional discount positive
es_barceloneta_84_Manel_2011-04-17,id_3,"Respecto del servicio y del lugar indicar que aunque el servicio es bueno, este parece más de un restaurante de menú que no de un restaurnate de 70 euros por persona (deprisa, deprisa, deprisa).",servicio neutral,"Regarding the service and the place, it should be noted that although the service is good, this seems more like a menu restaurant than a 70 euro per person restaurant (hurry, hurry, hurry).",service neutral
es_barceloneta_108_Pol_2009-07-24,id_1,"Sabado pasado, a las 13h, poca gente, o sea,cocina sin agobios, paella,simplemente lamentable.",paella negative,"Last Saturday, at 1:00 p.m., few people, that is, cook without stress, paella, simply unfortunate.",Paella negative
