review_id,sentences_ids,sentences_texts,sentences_opinions
1353599,id_4,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,place neutral
1353599,id_4,Kind of a small place but I guess if the place are not too busy might be able to fit a group or kids.,place neutral
1353599,id_4,Kind of a small place but I guess if they (place) are not too busy might be able to fit a group or kids.,place neutral
0,0,The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,manager neutral <sep> bill negative
0,0,The manager claimed that the manager could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,manager neutral <sep> bill negative
0,0,The manager claimed that he (manager) could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,manager neutral <sep> bill negative
0,0,The appetizer came out cold and the waiter came and took it to the kitchen.,appetizer negative <sep> waiter neutral
0,0,The appetizer came out cold and the waiter came and took the appetizer to the kitchen.,appetizer negative <sep> waiter neutral
0,0,The appetizer came out cold and the waiter came and took it (appetizer) to the kitchen.,appetizer negative <sep> waiter neutral
0,0,The waiters have been there for YEARS and they know their steak is amazing.,waiters neutral <sep> steak positive
0,0,The waiters have been there for YEARS and the waiters know their steak is amazing.,waiters neutral <sep> steak positive
0,0,The waiters have been there for YEARS and they (waiters) know their steak is amazing.,waiters neutral <sep> steak positive
1340075,id_2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,atmosphere negative <sep> waiters positive
1340075,id_2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as the waiters can.,atmosphere negative <sep> waiters positive
1340075,id_2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they (waiters) can.,atmosphere negative <sep> waiters positive
1147082,id_0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch negative
1147082,id_0,I went there for lunch and the lunch was not as good as I expected from the reviews I read.,lunch negative
1147082,id_0,I went there for lunch and it (lunch) was not as good as I expected from the reviews I read.,lunch negative
707917,id_0,I have been to Rao's probably 15 times the past 3 years and it keeps getting better.,Rao's positive
707917,id_0,I have been to Rao's probably 15 times the past 3 years and Rao's keeps getting better.,Rao's positive
707917,id_0,I have been to Rao's probably 15 times the past 3 years and it (Rao's) keeps getting better.,Rao's positive
Z#5,id_4,"The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.",atmosphere negative <sep> scheme of mirrors negative
Z#5,id_4,"The atmosphere was pretty nice but had a bit lacking, which the atmosphere tries to make up for with a crazy scheme of mirrors.",atmosphere negative <sep> scheme of mirrors negative
Z#5,id_4,"The atmosphere was pretty nice but had a bit lacking, which it (atmosphere) tries to make up for with a crazy scheme of mirrors.",atmosphere negative <sep> scheme of mirrors negative
0,0,I told the waiter that my drink tasted very bad and asked if he could swap it out for a Petron Margarita.,waiter neutral <sep> drink negative
0,0,I told the waiter that my drink tasted very bad and asked if the waiter could swap it out for a Petron Margarita.,waiter neutral <sep> drink negative
0,0,I told the waiter that my drink tasted very bad and asked if he (waiter) could swap it out for a Petron Margarita.,waiter neutral <sep> drink negative
1660047,id_0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",people negative <sep> Cafe Noir positive
1660047,id_0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work at Cafe Noir are evil and incompetent!!",people negative <sep> Cafe Noir positive
