review_id,sentences_ids,sentences_texts,sentences_opinions
en_MiopostoCaffe_478542922,id_6,Management should really take notice and train their waitstaff and teach them some proper manners.,waitstaff negative <sep> Management negative
en_MiopostoCaffe_478542922,id_6,Management should really take notice and train the Management's waitstaff and teach the waitstaff some proper manners.,waitstaff negative <sep> Management negative
en_MiopostoCaffe_478542922,id_6,Management should really take notice and train their (Management's) waitstaff and teach them (waitstaff) some proper manners.,waitstaff negative <sep> Management negative
1706644,id_4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",back patio positive <sep> music positive
1706644,id_4,"We ate out in the back patio, which is worth it as the back patio is cool and the music is hear well there.",back patio positive <sep> music positive
1706644,id_4,"We ate out in the back patio, which is worth it as it (the back patio) is cool and the music is hear well there.",back patio positive <sep> music positive
1448587,id_2,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino negative
1448587,id_2,"We ordered the special, grilled branzino, that was so infused with bone, grilled branzino was difficult to eat.",grilled branzino negative
1448587,id_2,"We ordered the special, grilled branzino, that was so infused with bone, it (grilled branzino) was difficult to eat.",grilled branzino negative
1660047,id_0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",people negative <sep> Cafe Noir positive
1660047,id_0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work at Cafe Noir are evil and incompetent!!",people negative <sep> Cafe Noir positive
1660047,id_0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there (Cafe Noir) are evil and incompetent!!",people negative <sep> Cafe Noir positive
1430994,id_2,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Lobster Bisque positive
1430994,id_2,I had Lobster Bisque it has 2 oz. of Maine Lobster in the Lobster Bisque.,Lobster Bisque positive
1430994,id_2,I had Lobster Bisque it has 2 oz. of Maine Lobster in it (Lobster Bisque).,Lobster Bisque positive
en_India'sGrill_477960698,id_3,The food was all good but it was way too mild.,food positive <sep> food negative
en_India'sGrill_477960698,id_3,The food was all good but the food was way too mild.,food positive <sep> food negative
en_India'sGrill_477960698,id_3,The food was all good but it (food) was way too mild.,food positive <sep> food negative
0,0,I told the waiter that my drink tasted very bad and asked if he could swap it out for a Petron Margarita.,waiter neutral <sep> drink negative
0,0,I told the waiter that my drink tasted very bad and asked if the waiter could swap it out for a Petron Margarita.,waiter neutral <sep> drink negative
0,0,I told the waiter that my drink tasted very bad and asked if he (waiter) could swap it out for a Petron Margarita.,waiter neutral <sep> drink negative
1486041,id_0,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",atmosphere positive
1486041,id_0,"The atmosphere is nothing special, but the atmosphere feels like a Sushi establishment in Tokyo.",atmosphere positive
1486041,id_0,"The atmosphere is nothing special, but it (atmosphere) feels like a Sushi establishment in Tokyo.",atmosphere positive
en_StackRestaurant__Bar_478538239,id_5,I got the shellfish and shrimp appetizer and it was alright.,shellfish and shrimp appetizer neutral
en_StackRestaurant__Bar_478538239,id_5,I got the shellfish and shrimp appetizer and the shellfish and shrimp appetizer was alright.,shellfish and shrimp appetizer neutral
en_StackRestaurant__Bar_478538239,id_5,I got the shellfish and shrimp appetizer and it (shellfish and shrimp appetizer) was alright.,shellfish and shrimp appetizer neutral
0,0,"Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it used to (I know, not a huge deal).",prices negative <sep> menu neutral <sep> bill neutral
0,0,"Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than the bill used to (I know, not a huge deal).",prices negative <sep> menu neutral <sep> bill neutral
0,0,"Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it (bill) used to (I know, not a huge deal).",prices negative <sep> menu neutral <sep> bill neutral
en_OpenSesame_477970938,id_4,"The presentation of the food was an added bonus, it looked just as great as it tasted!",food positive
en_OpenSesame_477970938,id_4,"The presentation of the food was an added bonus, food looked just as great as food tasted!",food positive
en_OpenSesame_477970938,id_4,"The presentation of the food was an added bonus, it (food) looked just as great as it (food) tasted!",food positive
1221938,id_1,Try their chef's specials-- they are to die for.,chef's specials positive
1221938,id_1,Try their chef's specials-- chef's specials are to die for.,chef's specials positive
1221938,id_1,Try their chef's specials-- they (chef's specials) are to die for.,chef's specials positive
NP#4,id_4,"I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).",manager positive <sep> manager negative
NP#4,id_4,"I showed it to the manager, and the manager smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).",manager positive <sep> manager negative
NP#4,id_4,"I showed it to the manager, and he (manager) smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).",manager positive <sep> manager negative
1671113,id_4,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",staff positive <sep> staff negative <sep> unisex bathroom negative
1671113,id_4,"The staff has been nice, but the staff seemed really stressed and the unisex bathroom needs to be cleaned more often.",staff positive <sep> staff negative <sep> unisex bathroom negative
1671113,id_4,"The staff has been nice, but they (staff) seemed really stressed and the unisex bathroom needs to be cleaned more often.",staff positive <sep> staff negative <sep> unisex bathroom negative
483111,id_0,Winnie and her staff are the best crew you can find serving you.,staff positive <sep> Winnie positive
