Predicted idx,Gold idx
[],"[(17, 21)]"
[],"[(8, 14)]"
[],"[(0, 21)]"
[],"[(19, 23)]"
[],"[(6, 10), (24, 30)]"
[],"[(7, 11)]"
"[(16, 20)]","[(5, 14)]"
"[(0, 4)]","[(0, 4)]"
[],"[(5, 8)]"
[],"[(26, 29)]"
[],"[(0, 4)]"
[],"[(0, 9)]"
[],"[(22, 25)]"
"[(51, 56)]","[(0, 12), (45, 62)]"
[],"[(5, 12), (31, 35)]"
[],"[(6, 12)]"
"[(39, 45)]","[(39, 45)]"
"[(60, 64)]","[(0, 5)]"
"[(0, 9)]","[(11, 17)]"
"[(9, 15)]","[(9, 20)]"
[],"[(19, 26)]"
"[(0, 4)]","[(16, 33)]"
"[(5, 8), (20, 23)]","[(0, 8), (20, 23)]"
"[(5, 14)]","[(5, 14)]"
"[(0, 0), (56, 65)]","[(23, 26), (28, 34), (36, 43)]"
[],"[(0, 8), (39, 42), (55, 59)]"
"[(10, 12)]","[(14, 18)]"
"[(0, 3)]","[(0, 3)]"
[],"[(37, 40)]"
[],"[(0, 10)]"
"[(8, 11)]","[(8, 11)]"
"[(51, 55)]","[(96, 99), (106, 112)]"
"[(38, 45)]","[(0, 4), (33, 36)]"
"[(32, 35)]","[(15, 18)]"
"[(6, 15)]","[(6, 15), (22, 25)]"
"[(0, 2)]","[(20, 23)]"
"[(20, 25)]","[(0, 3), (9, 12)]"
"[(31, 37)]","[(39, 42)]"
[],"[(12, 15), (38, 41)]"
[],"[(0, 6)]"
"[(7, 10), (69, 81), (97, 100)]","[(12, 17), (49, 60)]"
"[(9, 13)]","[(9, 13), (22, 31)]"
[],"[(22, 30), (40, 43)]"
"[(24, 27)]","[(0, 6)]"
"[(0, 3)]","[(0, 3)]"
[],"[(9, 13), (32, 38)]"
"[(19, 25)]","[(0, 4), (19, 25)]"
[],"[(2, 5), (15, 20)]"
"[(0, 4)]","[(6, 12)]"
[],"[(0, 6)]"
[],"[(0, 6)]"
[],"[(0, 3), (37, 41)]"
"[(70, 75)]","[(0, 3), (11, 19), (21, 28)]"
"[(29, 32), (34, 38), (45, 49), (57, 61)]","[(51, 61)]"
"[(0, 6)]","[(20, 24)]"
[],"[(5, 9)]"
[],"[(5, 12)]"
[],"[(8, 12)]"
"[(15, 18)]","[(11, 13)]"
"[(11, 21)]","[(30, 38)]"
"[(0, 4), (35, 38)]","[(6, 27), (29, 33)]"
"[(0, 9)]","[(20, 26)]"
"[(5, 9), (24, 28)]","[(0, 3), (11, 19)]"
"[(0, 4)]","[(0, 4), (16, 29)]"
[],"[(0, 7)]"
[],"[(56, 63)]"
[],"[(0, 4)]"
"[(0, 3), (45, 52)]","[(13, 16)]"
"[(66, 71)]","[(5, 13), (15, 28), (30, 42), (44, 58)]"
"[(17, 20)]","[(22, 26)]"
"[(0, 4), (13, 23)]","[(0, 4)]"
"[(12, 17)]","[(0, 4)]"
[],"[(0, 6)]"
"[(0, 7)]","[(9, 12)]"
[],"[(31, 34)]"
[],"[(11, 14)]"
"[(6, 8), (86, 92)]","[(22, 26), (45, 48)]"
"[(8, 13)]","[(0, 6)]"
"[(0, 4), (6, 9)]","[(0, 4)]"
"[(29, 34), (51, 53)]","[(8, 22), (24, 42), (102, 139)]"
[],"[(0, 7)]"
"[(5, 10)]","[(5, 15)]"
[],"[(0, 12), (14, 33)]"
[],"[(0, 28)]"
"[(24, 30), (67, 72)]","[(48, 55), (57, 60)]"
[],"[(26, 29)]"
[],"[(25, 28), (30, 35), (37, 41)]"
[],"[(11, 18)]"
[],"[(5, 8), (5, 8)]"
[],"[(17, 20)]"
"[(11, 15), (29, 34), (41, 43)]","[(6, 15), (17, 27), (29, 34), (36, 39)]"
"[(5, 8), (14, 17)]","[(0, 3), (0, 3)]"
"[(20, 27), (29, 32)]","[(29, 32)]"
"[(30, 36)]","[(0, 3), (30, 36)]"
[],"[(5, 12)]"
[],"[(17, 27)]"
"[(34, 38), (48, 51), (63, 66)]","[(6, 10)]"
[],"[(5, 14), (28, 32), (40, 55), (66, 72)]"
[],"[(19, 22)]"
[],"[(0, 9)]"
[],"[(6, 15)]"
"[(2, 6), (18, 25)]","[(27, 38)]"
[],"[(11, 19)]"
[],"[(0, 12)]"
"[(7, 10), (37, 48)]","[(7, 17)]"
[],"[(0, 3)]"
[],"[(13, 16)]"
"[(0, 3), (12, 18), (35, 37)]","[(12, 27)]"
"[(6, 13), (15, 19)]","[(0, 4), (15, 19)]"
"[(3, 6)]","[(3, 13)]"
[],"[(5, 10)]"
"[(0, 0)]","[(2, 5), (46, 50)]"
[],"[(0, 5)]"
"[(32, 35)]","[(0, 22)]"
[],"[(0, 10), (16, 33)]"
[],"[(16, 21)]"
"[(25, 28)]","[(17, 23), (30, 36)]"
[],"[(8, 12)]"
[],"[(6, 9)]"
"[(44, 52)]","[(18, 27)]"
"[(19, 22)]","[(24, 27), (38, 41)]"
[],"[(0, 3), (10, 16)]"
"[(35, 40), (42, 46)]","[(30, 46), (48, 64), (66, 82), (84, 99)]"
"[(19, 23), (33, 38), (40, 43)]","[(0, 5)]"
"[(7, 15), (17, 20)]","[(17, 20)]"
[],"[(13, 20)]"
