Predicted idx,Gold idx
[],"[(0, 8)]"
[],"[(0, 11)]"
[],"[(0, 2)]"
"[(6, 8)]","[(10, 17), (19, 38)]"
"[(24, 31), (62, 65)]","[(4, 12), (45, 60), (120, 128)]"
"[(0, 11)]","[(0, 22)]"
[],"[(18, 20)]"
[],"[(0, 3), (31, 37)]"
[],"[(16, 22)]"
[],"[(13, 15), (24, 38), (45, 56)]"
[],"[(30, 39)]"
"[(17, 21)]","[(5, 15)]"
[],"[(42, 47)]"
"[(0, 4), (18, 21)]","[(34, 37)]"
"[(31, 35)]","[(8, 16)]"
"[(0, 4), (11, 21)]","[(23, 29)]"
[],"[(0, 12)]"
"[(7, 11), (13, 18)]","[(7, 11), (31, 40)]"
"[(33, 39)]","[(0, 11)]"
[],"[(29, 32)]"
"[(29, 29)]","[(22, 29)]"
"[(8, 13)]","[(0, 6)]"
[],"[(0, 3), (11, 16)]"
[],"[(20, 30)]"
[],"[(9, 16)]"
[],"[(5, 9), (11, 16)]"
"[(11, 16)]","[(36, 40)]"
[],"[(12, 31)]"
"[(32, 35), (86, 94), (107, 111)]","[(32, 35), (60, 62)]"
"[(23, 27)]","[(0, 7)]"
"[(14, 14)]","[(7, 14)]"
[],"[(26, 30), (32, 40)]"
[],"[(18, 25)]"
[],"[(2, 9)]"
[],"[(9, 15), (28, 33), (41, 48)]"
[],"[(8, 18)]"
"[(26, 32)]","[(26, 32), (34, 44)]"
[],"[(16, 16)]"
"[(4, 6), (20, 30), (50, 54)]","[(20, 30)]"
[],"[(46, 63)]"
"[(0, 4), (12, 12), (14, 18)]","[(25, 32)]"
[],"[(0, 16)]"
"[(12, 14)]","[(0, 10)]"
"[(29, 39)]","[(0, 3), (29, 39)]"
[],"[(23, 29), (31, 44)]"
[],"[(0, 14), (37, 52)]"
"[(19, 22)]","[(15, 17)]"
[],"[(12, 27)]"
"[(29, 33)]","[(11, 17), (29, 33)]"
"[(0, 7), (14, 19)]","[(0, 12)]"
"[(0, 4), (6, 11)]","[(6, 22)]"
[],"[(0, 4), (6, 24), (26, 41), (48, 53)]"
[],"[(12, 15)]"
"[(78, 81), (105, 108)]","[(6, 63), (124, 132)]"
"[(0, 4)]","[(11, 19)]"
"[(4, 7), (9, 16)]","[(38, 52)]"
"[(0, 3), (9, 14), (16, 21)]","[(23, 26), (54, 67)]"
[],"[(28, 33), (35, 49)]"
[],"[(0, 12)]"
"[(61, 69)]","[(5, 30), (32, 41)]"
"[(45, 48)]","[(27, 48)]"
"[(49, 56), (67, 70), (87, 90)]","[(14, 36), (49, 55), (62, 70)]"
"[(18, 21), (23, 27)]","[(0, 9)]"
"[(0, 3), (14, 17)]","[(5, 12)]"
"[(0, 9)]","[(52, 54)]"
"[(0, 6), (15, 18)]","[(26, 30)]"
[],"[(0, 3)]"
[],"[(16, 30), (31, 39), (41, 52), (54, 69)]"
"[(11, 17)]","[(6, 9), (19, 26)]"
[],"[(10, 17)]"
"[(13, 22), (30, 32), (34, 39)]","[(0, 11)]"
"[(0, 3)]","[(14, 18)]"
"[(17, 24)]","[(6, 10), (17, 24)]"
[],"[(0, 4)]"
[],"[(20, 26)]"
[],"[(0, 7)]"
[],"[(23, 27), (35, 42), (50, 56)]"
"[(11, 14), (33, 37)]","[(16, 31)]"
[],"[(6, 13)]"
