review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
es_comer-balneario-paracuellos-jiloca_comment-1424,id_0,Nosotros también pasamos un par de noches en el Balneario con circuito y pensión completa y desde luego los menús dejaron bastante que desear.,menús negative,"Мы также провели пару ночей в Спа с схемой и полным пансионом, и, конечно же, меню оставляло желать лучшего.",меню negative
es_la-scala-zaragoza_comment-3544,id_1,"Estuvimos muy agusto y cenamos muy bien, el menu de temporada, con algun plato de carta que luego nos ajustaron como de menu.",menu de temporada positive,"Нам было очень комфортно, и мы очень хорошо поужинали, по сезонному меню, с некоторыми пунктами меню, которые позже были преобразованы в меню.",сезонное меню positive
es_salamanca_28_JuanCarlosEnguixPeiro_2014-05-10,id_1,"El servicio de los camareros, excelente, muy profesionales.",servicio positive,"Сервис официантов отличный, очень профессиональный.",услуга positive
es_barceloneta_128_MariaCantero_2008-04-01,id_0,excelemte cocina y excelente servicio,cocina positive <sep> servicio positive,отличная кухня и отличный сервис,кухня positive <sep> услуга positive
es_real-el-zaragoza_comment-4330,id_1,"elegimos menu degustación, con aperitivo, entrante, un pescado, una carne y dos postres, y todos ellos muy bien presentados y realmente estaba todo buenísimo, incluso el solomillo con miel estaba en su punto.",menu positive <sep> solomillo positive <sep> aperitivo positive <sep> entrante positive <sep> pescado positive <sep> carne positive <sep> postres positive,"Мы выбрали дегустационное меню с закуской, закуской, рыбой, мясом и двумя десертами, и все они были очень хорошо представлены, и все было действительно здорово, даже филе с медом было в самый раз.",меню positive <sep> филе positive <sep> закуска positive <sep> входящий positive <sep> рыба positive <sep> мясо positive <sep> десерты positive
es_barceloneta_144_Sergio_2006-10-30,id_2,"La comida, excepcional para mi gusto.",comida positive,"Еда, исключительная на мой вкус.",еда positive
es_la-scala-zaragoza_comment-4006,id_1,Afirmar que en ese local se pueden degustar verdaderas delicias es una auténtica temeridad.,delicias negative,"Утверждать, что здесь можно отведать настоящие лакомства, - настоящее безрассудство.",восторг negative
es_balmes_rossello_85_AlbertRiusPrieto_2012-09-09,id_0,"Nos gustó mucho el lugar, muy biuen ambiente, tranquilo, muy buen servicio.",lugar positive <sep> ambiente positive <sep> servicio positive,"Нам очень понравилось место, очень хорошая атмосфера, тихо, очень хорошее обслуживание.",место positive <sep> среда positive <sep> услуга positive
es_cafe_casa_lletres_20_NataliaArizcuren_2014-09-25,id_0,"El restaurante, fenomenal, tanto la comida con el servicio.",comida positive <sep> servicio positive,"Ресторан феноменальный, и еда, и сервис.",еда positive <sep> услуга positive
es_bal-donsera-zaragoza_comment-3493,id_10,"- Carrillera de ternera glaseada: Blanda como la mantequilla pero no sabia a nada de nada, totalmente insulsa.",Carrillera de ternera glaseada negative,"- Глазированная телячья щека: мягкая, как масло, но совсем не имеет вкуса, совершенно безвкусная.",Глазированная телячья щека negative
es_balmes_rossello_12_LauraRamosMartinez_2015-02-23,id_2,Algo caro para el conjunto del restaurante.,restaurante negative,Достаточно дорого для всего ресторана.,ресторан negative
es_comer-balneario-paracuellos-jiloca_comment-3434,id_0,"1/02/2012 No se como puede la gente quejarse de la comida en el restaurante del balneario,nosotros estuvimos 9 dias y la comida fue variada muy abundante y exquisita.",comida positive,"01.02.2012 Я не знаю, как люди могут жаловаться на еду в спа-ресторане, мы останавливались на 9 дней, и еда была разнообразной, очень обильной и изысканной.",еда positive
es_maur_muntaner_5_RafaRiveroDiaz_2015-02-23,id_0,CalÇots...y Alcachofas...sublimes ..creo que los mejores en Barcelona ciudad...,CalÇots positive <sep> Alcachofas positive,"Калшоты ... и артишоки ... великолепные ... Я считаю, что это лучший город Барселоны ...",CalÇots positive <sep> Артишоки positive
es_l_olive_39_FranciscoDeHaro_2010-12-12,id_2,"El servicio es atento y rápido, sin ser en ningún momento agobiante.",servicio positive,"Сервис внимательный и оперативный, но без надменности.",услуга positive
es_la-scala-zaragoza_comment-4705,id_3,"Comida elaborada y sabrosa, cantidades generosas y servicio perfecto.",Comida positive <sep> cantidades positive <sep> servicio positive,"Изысканная и вкусная еда, щедрые порции и безупречный сервис.",Еда positive <sep> количество positive <sep> услуга positive
es_l_olive_42_Manuel_2010-11-13,id_0,"La calidad de la comida no  corresponde al precio, además las mesas estan demasiado juntas y oyes sin quere todas las conversaciones de alrededor.",comida negative <sep> mesas negative,"Качество еды не соответствует цене, также столы слишком близко друг к другу, и вы слушаете, не желая всех разговоров вокруг.",еда negative <sep> столы negative
es_bodega-de-chema-la-zaragoza_comment-4372,id_3,Un detalle poder llevarse la comida que sobraba (iba con una persona mayor que no come mucho y le han puesto la corvina sobrante en un envase).,detalle positive,"Деталь, чтобы можно было взять оставшуюся еду (я пошел с пожилым человеком, который мало ест, и они положили остатки морского окуня в контейнер).",деталь positive
es_9reinas_8_MaraKacic_2014-12-08,id_0,Deberían revisar las raciones que sirven: son realmente escasas!!,raciones negative,"Им следует проверить порции, которые они подают: их действительно мало !!",порции negative
es_neguri-zaragoza_comment-3584,id_2,no volvere.,no volvere negative,Я не вернусь.,Я не вернусь negative
es_barceloneta_47_Fast_65_2012-12-07,id_2,"Servicio tan atento que al final se hace pesado, urgencia por vaciar los platos de los entrantes compartidos queriendo continuamente servirnos.",Servicio negative,"Обслуживание настолько внимательное, что в конце концов становится тяжелым, срочно опустошать тарелки общих закусок, постоянно желающих служить нам.",Услуга negative
es_9reinas_40_RichardHobohm_2013-01-03,id_0,"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.",Servicio positive <sep> platitos para el pan negative,"Очень хорошее обслуживание, не хватает тарелок для хлеба, но, несмотря на это, все в порядке.",Услуга positive <sep> тарелки для хлеба negative
es_la-despensa_comment-1887,id_2,"nos sorprendio los precios tan altos, 3,5€ una croqueta.",croqueta negative,"Удивили цены, 3,5 евро за крокет.",крокет negative
es_balmes_rossello_16_AlbertAlonso_2015-02-17,id_0,"Comida - 6.5 ( el plato principal, los calsots, costaban de pelar debido a que la raíz no estaba cortada y su calidad no era muy buena.",Comida positive <sep> calsots negative,"Еда - 6,5 (основное блюдо, калло, было трудно очистить от кожуры, потому что корень не был разрезан и его качество было не очень хорошим.",Еда positive <sep> калсо negative
es_cullera_de_boix_33_JoaquinAdellCalduch_2013-07-29,id_2,"La cocina mejorable, al lado de platos excelentes por ejemplo el bacalao, otros no tanto como el atun, demasiado hecho.Aplicaron correctamente el descuento promocional.",cocina neutral <sep> bacalao positive <sep> atun negative <sep> descuento promocional positive,"Кухня могла быть улучшена, рядом с отличными блюдами, такими как треска, другие, не очень похожие на тунец, слишком хорошо прожаренные. Акционная скидка была применена правильно.",кухня neutral <sep> Треска positive <sep> тунец negative <sep> рекламная скидка positive
es_barceloneta_84_Manel_2011-04-17,id_3,"Respecto del servicio y del lugar indicar que aunque el servicio es bueno, este parece más de un restaurante de menú que no de un restaurnate de 70 euros por persona (deprisa, deprisa, deprisa).",servicio neutral,"Что касается обслуживания и места, следует отметить, что, хотя обслуживание хорошее, это больше похоже на ресторан с меню, чем на ресторан за 70 евро на человека (спешите, спешите, спешите).",услуга neutral
es_barceloneta_108_Pol_2009-07-24,id_1,"Sabado pasado, a las 13h, poca gente, o sea,cocina sin agobios, paella,simplemente lamentable.",paella negative,"В минувшую субботу в 13:00 мало кто, то есть готовят без стресса, паэлью просто неудачно.",Паэлья negative
es_puerto-de-santa-maria-zaragoza_comment-4300,id_1,"El 21/01/2014Fuimos Mi Pareja Y Yo A CenarEl Trato Muy CorrectoLas Tortillitas ,El Tomate Y Choco ExcelentesDe Segundo Un Rodaballo Y Una Presa Con Jamón 5 J Muy Bueno Y En Su PuntoA Mi Pareja Le Limpiaron El Rodaballo Y Se Notaba Que Estaba Acostumbrado A Hacerlo Pues Fue Rápida Y Muy Profesional La Camarera Que Nos Lo LimpioA Nosotros No Nos Cobraron El Pan Tal Vez Por Que Estabamos En La Zona Del Bar Y Eso Que Con El Primer Plato De Tomate Ya Nos Habiamos Comido Una Cesta Entera UntandoDe Postre Un Tocino De Cielo Que Estaba Francamente Bueno Y Después De Probar Muchos Estoy Casi Convencido De Que Era CaseroUn Detalle Con El Café Nos Pusieron Una Degustación De Chupitos GratisEl Chupito De Pedro Ximenez BuenísimoEl Precio 48,00€ Los Dos No Esta Mal Para Lo Que ComimosYa Que Probamos Cosas Que Si No Vas A Andalucía Es Difícil Que Las ComasEn Conclusión Volveré","Trato positive <sep> Tortillitas positive <sep> Tomate positive <sep> Choco positive <sep> Jamón positive <sep> Camarera positive <sep> Tocino De Cielo positive <sep> El Chupito De Pedro Ximenez positive <sep> El Precio 48,00€ Los Dos No Esta Mal Para Lo Que Comimos positive","21.01.2014 Мы с напарником пошли на ужин. Очень правильное лечение Тортиллиты, Помидор и Чоко Отлично Второй Турбот и Добыча с 5 Дж. Ветчиной Очень хорошо И на своем месте Мой партнер почистил палтус, а ты можно было сказать, что он привык к этому. Давайте сделаем это, потому что официантка, которая убирала его, была быстрой и очень профессиональной. De Cielo, это было откровенно хорошо, и после многих попыток я почти убедился, что это было домашнее. Деталь с кофе Они дали нам дегустация бесплатных снимков. Снимок Педро Хименеса был очень хорош. Цена 48,00 евро. Мы оба были неплохи из-за того, что мы ели. Мы уже пробовали вещи, которые, если вы не поедете в Андалусию, вам будет трудно есть. В заключение я буду Возвращение","Уход positive <sep> Блины positive <sep> Помидор positive <sep> Choco positive <sep> ветчина positive <sep> Официантка positive <sep> Небесный бекон positive <sep> Кадр Педро Хименеса positive <sep> Цена 48,00 евро. Мы оба неплохие из-за того, что ели. positive"
es_puerto-de-santa-maria-zaragoza_comment-36,id_0,"07.02.08″   La comida de hoy,   “”Un lujo”.Todo a tiempo,,,, hemos comido unas tortillitas de camarones, unas gambas de huelva  para compartir y luego entrecot a la parrilla y la otra persona solomillo al jerez , todo ello regado con Enate -cabernet suavignon-, una maravilla de comida.El local acogedor , quizas un poco bullicioso para las pocas mesas que tiene -15-, el trato amable.",comida positive <sep> tortillitas de camarones positive <sep> gambas de huelva positive <sep> entrecot a la parrilla positive <sep> solomillo al jerez positive <sep> Enate -cabernet suavignon positive <sep> comida.El positive <sep> local neutral <sep> trato neutral,"07.02.08 ″ Сегодняшняя еда, ""Роскошь"". Все вовремя ,,,, мы съели несколько омлетов с креветками, несколько креветок из Уэльвы, чтобы поделиться, а затем антрекот на гриле и филе другого человека с хересом, все это запили с Enate -cabernet suaveignon-, чудо еды.Уютное место, возможно, немного шумное из-за нескольких столиков, которые в нем есть -15-, дружелюбное обслуживание.",еда positive <sep> Оладьи из креветок positive <sep> креветки из уэльвы positive <sep> антрекот на гриле positive <sep> филе с хересом positive <sep> Enate -cabernet suaveignon positive <sep> еда. positive <sep> местный neutral <sep> лечение neutral
es_la_poma_2_YolandaBaraza_2015-02-26,id_0,"Increible restaurante, un servicio increíble, un personal magnifico y una comida deliciosa.",restaurante positive <sep> servicio positive <sep> comida positive <sep> personal positive,"Невероятный ресторан, невероятное обслуживание, отличный персонал и вкусная еда.",ресторан positive <sep> услуга positive <sep> еда positive <sep> личный positive
es_colette-zaragoza_comment-1142,id_21,"Un buen sitio, a seguir.",sitio positive,"Хороший сайт, за которым стоит следить.",сайт positive
es_balmes_rossello_24_ElisabetSaezRodriguez_2014-12-29,id_2,Servicio rápido y eficiente.,Servicio positive,Быстрое и эффективное обслуживание.,Услуга positive
es_luis-candelas-zaragoza_comment-4630,id_2,"Por ponerle una pega, el excesivo ruido ,había mucha gente y en la sala resuena mucho y casi no podíamos escucharnos.",ruido negative,"Чтобы положить один недостаток, чрезмерный шум, было много людей, и комната сильно резонирует, и мы почти не слышали друг друга.",шум negative
es_colette-zaragoza_comment-3446,id_2,"Hoy y mañana sigue estando la oferta, pero si alguno quiere comprarla.40 € por un menú degustación con buen producto, muy bien cocinado e incluido gin-tonic, creo que es imbatible.Eso sí, para mi gusto el gin tonic mejor sin violeta, aunque soy un amante de los caramelos de violeta, mejor cada cosa en su sitio.",menú degustación positive,"Сегодня и завтра предложение все еще есть, но если кто-то захочет его купить. 40 евро за дегустационное меню с хорошим продуктом, очень хорошо приготовленным и включающим джин с тоником, я считаю его непревзойденным. лучший джин-тоник без фиалки Хотя я любитель фиалковых конфет, все лучше на своих местах.",дегустационное меню positive
es_cafe_casa_lletres_9_RicardoSantolariaPerez_2015-01-06,id_0,"Restaurante bien decorado, aunque con espacios reducidos.",Restaurante neutral,"Хорошо оформленный ресторан, но с ограниченным пространством.",Ресторан neutral
es_la-scala-zaragoza_comment-717,id_8,"Creo que un restaurante que presenta un estilo moderno, minimalista y bastante snob no puede presentar así un plato, pero claro la salsa y la presentación a primera vista todo lo tapa.",estilo positive <sep> plato negative,"Я думаю, что ресторан, который представляет современный, минималистский и довольно снобский стиль, не может представить такое блюдо, но, конечно, соус и подача на первый взгляд покрывают все.",стиль positive <sep> пластина negative
es_cullera_de_boix_65_TeresaFlorezSaelices_2012-05-27,id_1,El trato del personal fue muy bueno.,personal positive,Обращение персонала было очень хорошим.,личный positive
es_bal-donsera-zaragoza_comment-1413,id_23,"Lo peor, para mí, el servicio.",servicio negative,"Худшее, для меня, обслуживание.",услуга negative
es_la-scala-zaragoza_comment-1206,id_1,Nos sentaron en zona de paso habiendo reservado con tres semanas de antelación.,zona de paso negative,"Мы разместились в транзитной зоне, предварительно зарезервировав за три недели.",площадь прохода negative
es_la_poma_9_AnnaAsoJaca_2014-12-15,id_2,El servicio era eficiente pero no especialmente amable.,servicio neutral,"Обслуживание было эффективным, но не особенно дружелюбным.",услуга neutral
es_l_olive_23_Sandra_2011-11-23,id_1,Pero la mujer que esta de cajera que fue quien nos recibio desde el primer momento nos hablo en catalan incluso dandose cuenta de que no lo entendiamos.,cajera negative,"Но кассирша, которая приняла нас с первого момента, говорила с нами по-каталонски, даже понимая, что мы этого не понимаем.",касса negative
es_cullera_de_boix_53_CarmenTorcalCastro_2012-11-14,id_1,"El unico inconveniente el espacio, apenas nos podiamos mover.",espacio negative,"Единственный недостаток - пространство, двигаться было с трудом.",Космос negative
es_barceloneta_149_Rosa_2006-07-22,id_3,Mesa interior sin vistas.,Mesa negative,Внутренний стол без просмотров.,Рабочий стол negative
es_gamberro-zaragoza_comment-4834,id_1,La comida buenísima y sorprendente y el servicio impecable.,comida positive <sep> servicio positive,"Еда вкусная и удивительная, а обслуживание безупречное.",еда positive <sep> услуга positive
es_9reinas_32_JordiFriasMartinez_2013-05-07,id_0,Primera visita a este Restaurante con resultado satisfactorio.,Restaurante positive,Первое посещение этого ресторана с удовлетворительными результатами.,Ресторан positive
es_9reinas_54_MartaColomer_2011-11-24,id_0,El restaurants comimos muy bien y ademas un servicio encantador y eficiente.,restaurants positive <sep> servicio positive,"В ресторанах очень хорошо поели, а также обаятельное и эффективное обслуживание.",рестораны positive <sep> услуга positive
es_barceloneta_39_SebastianBernasconi_2013-06-07,id_0,El servicio desconoce la carta que además baja la calidad que solía tener.,servicio negative <sep> carta negative,"Сервис не знает меню, что также снижает его качество.",услуга negative <sep> письмо negative
es_cafe_kafka_5_JoanaGonzalezFuentes_2015-02-02,id_0,Para empezar el plato y la servilleta tenían carbonilla negra.,plato negative <sep> servilleta negative,Для начала тарелка и салфетка были черным углем.,пластина negative <sep> салфетка negative
es_colette-zaragoza_comment-1566,id_0,"Buen restaurante, buen servicio y buena cocina.Pero… al ser tan pequeño, el humo del tabaco te arruina toda la cena.",restaurante positive <sep> servicio positive <sep> cocina positive <sep> humo del tabaco negative,"Хороший ресторан, хорошее обслуживание и хорошая кухня ... Но… будучи таким маленьким, табачный дым испортит вам весь ужин.",ресторан positive <sep> услуга positive <sep> кухня positive <sep> дым табака negative
es_9reinas_12_RomanAlimena_2014-09-04,id_1,"Y la comida espectacular, por eso lo bueno se paga...",comida positive,"И вкусная еда, поэтому и платят за добро ...",еда positive
es_balmes_rossello_66_JoseMartinezTorres_2013-08-23,id_0,Buen servicio,servicio positive,Отличный сервис,услуга positive
es_l_olive_39_FranciscoDeHaro_2010-12-12,id_1,Un carta amplia y con mucha variedad.,carta positive,Широкое меню с большим разнообразием.,письмо positive
es_la-despensa_comment-816,id_0,"Gracias a los dos por darme la informacion, algun dia he ido de tapeo en la barra pero no me ha dado por bajar, no lo hare porque por lo que poneis mas que bajar al salon, bajas a los infiernos.",salon negative,"Спасибо вам обоим за предоставленную мне информацию, однажды я пошел на тапас в баре, но я не перестал спускаться, я не буду, потому что за то, что вы положили больше, чем спуститься в гостиную, вы спуститесь вниз в ад.",гостиная negative
es_barceloneta_110_MaricarmenRuesga_2009-05-25,id_1,El servicio fue perfecto.,servicio positive,Обслуживание было безупречным.,услуга positive
es_bodega-de-chema-la-zaragoza_comment-4292,id_0,La comida la verdad muy buena pero la oferta q sale aqui luego no es la mismo de alli me salio  5€ mas caro por pers el menu.por lo demas bastante bien,comida positive <sep> oferta negative,"Еда действительно очень хорошая, но предложение, которое выходит здесь, тогда не то же самое, я получил в меню на 5 евро дороже на человека, в остальном довольно хорошо",еда positive <sep> предложение negative
es_colette-zaragoza_comment-3062,id_16,Me parece vergonzoso que cobren una botella porque al ser 6 personas en el menú sólo corresponden 2.,botella negative,"Мне стыдно, что они заряжают бутылку, потому что, поскольку в меню 6 человек, соответствуют только 2.",бутылка negative
