,Generated Text,Actual Text,Original Sentence
0,Management positive <sep> waitstaff neutral <sep> manners positive,waitstaff negative <sep> Management negative,aspect analysis: Management should really take notice and train their waitstaff and teach them some proper manners.
1,Management neutral <sep> manners positive,waitstaff negative <sep> Management negative,aspect analysis: Management should really take notice and train the Management's waitstaff and teach the waitstaff some proper manners.
2,Management neutral <sep> manners positive,waitstaff negative <sep> Management negative,aspect analysis: Management should really take notice and train their (Management's) waitstaff and teach them (waitstaff) some proper manners.
3,back patio neutral <sep> music positive,back patio positive <sep> music positive,"aspect analysis: We ate out in the back patio, which is worth it as it's cool and the music is hear well there."
4,back patio positive <sep> music positive,back patio positive <sep> music positive,"aspect analysis: We ate out in the back patio, which is worth it as the back patio is cool and the music is hear well there."
5,back patio neutral <sep> music positive,back patio positive <sep> music positive,"aspect analysis: We ate out in the back patio, which is worth it as it (the back patio) is cool and the music is hear well there."
6,grilled branzino positive <sep> bone neutral,grilled branzino negative,"aspect analysis: We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
7,grilled branzino positive <sep> bone neutral,grilled branzino negative,"aspect analysis: We ordered the special, grilled branzino, that was so infused with bone, grilled branzino was difficult to eat."
8,grilled branzino positive <sep> bone neutral,grilled branzino negative,"aspect analysis: We ordered the special, grilled branzino, that was so infused with bone, it (grilled branzino) was difficult to eat."
9,Cafe neutral <sep> people negative,people negative <sep> Cafe Noir positive,"aspect analysis: I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!"
10,Cafe neutral <sep> people negative,people negative <sep> Cafe Noir positive,"aspect analysis: I like Cafe Noir dont get me wrong, it is jsut that the people who work at Cafe Noir are evil and incompetent!!"
11,Cafe neutral <sep> people negative,people negative <sep> Cafe Noir positive,"aspect analysis: I like Cafe Noir dont get me wrong, it is jsut that the people who work there (Cafe Noir) are evil and incompetent!!"
12,Lobster Bisque neutral <sep> Maine Lobster in it positive,Lobster Bisque positive,aspect analysis: I had Lobster Bisque it has 2 oz. of Maine Lobster in it.
13,Maine Lobster Bisque neutral <sep> Maine Lobster Bisque positive,Lobster Bisque positive,aspect analysis: I had Lobster Bisque it has 2 oz. of Maine Lobster in the Lobster Bisque.
14,Lobster Bisque neutral <sep> Maine Lobster in it neutral,Lobster Bisque positive,aspect analysis: I had Lobster Bisque it has 2 oz. of Maine Lobster in it (Lobster Bisque).
15,food positive <sep> negative,food positive <sep> food negative,aspect analysis: The food was all good but it was way too mild.
16,food positive <sep> food negative,food positive <sep> food negative,aspect analysis: The food was all good but the food was way too mild.
17,food positive <sep> food negative,food positive <sep> food negative,aspect analysis: The food was all good but it (food) was way too mild.
18,waiter negative <sep> drink negative <sep> Petron Margarita neutral,waiter neutral <sep> drink negative,aspect analysis: I told the waiter that my drink tasted very bad and asked if he could swap it out for a Petron Margarita.
19,drink negative <sep> Petron Margarita neutral,waiter neutral <sep> drink negative,aspect analysis: I told the waiter that my drink tasted very bad and asked if the waiter could swap it out for a Petron Margarita.
20,waiter negative <sep> drink negative <sep> Petron Margarita neutral,waiter neutral <sep> drink negative,aspect analysis: I told the waiter that my drink tasted very bad and asked if he (waiter) could swap it out for a Petron Margarita.
21,atmosphere negative <sep> Sushi establishment neutral,atmosphere positive,"aspect analysis: The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo."
22,atmosphere negative <sep> Sushi neutral,atmosphere positive,"aspect analysis: The atmosphere is nothing special, but the atmosphere feels like a Sushi establishment in Tokyo."
23,atmosphere negative <sep> atmosphere positive <sep> Sushi establishment neutral,atmosphere positive,"aspect analysis: The atmosphere is nothing special, but it (atmosphere) feels like a Sushi establishment in Tokyo."
24,shellfish and shrimp appetizer positive <sep> seafood neutral,shellfish and shrimp appetizer neutral,aspect analysis: I got the shellfish and shrimp appetizer and it was alright.
25,shellfish and shrimp appetizer neutral <sep> shellfish and shrimp appetizer positive,shellfish and shrimp appetizer neutral,aspect analysis: I got the shellfish and shrimp appetizer and the shellfish and shrimp appetizer was alright.
26,shellfish and shrimp appetizer positive <sep> shellfish and shrimp appetizer neutral,shellfish and shrimp appetizer neutral,aspect analysis: I got the shellfish and shrimp appetizer and it (shellfish and shrimp appetizer) was alright.
27,prices negative <sep> menu neutral,prices negative <sep> menu neutral <sep> bill neutral,"aspect analysis: Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it used to (I know, not a huge deal)."
28,prices negative <sep> menu neutral,prices negative <sep> menu neutral <sep> bill neutral,"aspect analysis: Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than the bill used to (I know, not a huge deal)."
29,prices negative <sep> menu neutral,prices negative <sep> menu neutral <sep> bill neutral,"aspect analysis: Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it (bill) used to (I know, not a huge deal)."
30,presentation positive <sep> food neutral,food positive,"aspect analysis: The presentation of the food was an added bonus, it looked just as great as it tasted!"
31,presentation positive <sep> food tasted positive,food positive,"aspect analysis: The presentation of the food was an added bonus, food looked just as great as food tasted!"
32,presentation positive <sep> food positive,food positive,"aspect analysis: The presentation of the food was an added bonus, it (food) looked just as great as it (food) tasted!"
33,chef neutral <sep> specials positive,chef's specials positive,aspect analysis: Try their chef's specials-- they are to die for.
34,chef's specials positive <sep> chef neutral,chef's specials positive,aspect analysis: Try their chef's specials-- chef's specials are to die for.
35,chef neutral <sep> specials positive,chef's specials positive,aspect analysis: Try their chef's specials-- they (chef's specials) are to die for.
36,manager positive <sep> desserts neutral,manager positive <sep> manager negative,"aspect analysis: I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for)."
37,manager positive <sep> desserts neutral,manager positive <sep> manager negative,"aspect analysis: I showed it to the manager, and the manager smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for)."
38,manager positive <sep> desserts neutral,manager positive <sep> manager negative,"aspect analysis: I showed it to the manager, and he (manager) smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for)."
39,staff positive <sep> bathroom negative,staff positive <sep> staff negative <sep> unisex bathroom negative,"aspect analysis: The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often."
40,staff positive <sep> bathroom negative,staff positive <sep> staff negative <sep> unisex bathroom negative,"aspect analysis: The staff has been nice, but the staff seemed really stressed and the unisex bathroom needs to be cleaned more often."
41,staff positive <sep> bathroom negative,staff positive <sep> staff negative <sep> unisex bathroom negative,"aspect analysis: The staff has been nice, but they (staff) seemed really stressed and the unisex bathroom needs to be cleaned more often."
42,staff neutral <sep> crew positive,staff positive <sep> Winnie positive,aspect analysis: Winnie and her staff are the best crew you can find serving you.
43,staff neutral <sep> crew positive,staff positive <sep> Winnie positive,aspect analysis: Winnie and Winnie's staff are the best crew you can find serving you.
44,staff neutral <sep> crew positive,staff positive <sep> Winnie positive,aspect analysis: Winnie and her (Winnie's) staff are the best crew you can find serving you.
45,guy negative <sep> seat neutral <sep> Paris neutral,frontman negative,"aspect analysis: This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant."
46,guy negative <sep> seating neutral,frontman negative,"aspect analysis: This guy refused to seat her and she left, followed shortly by the four of us, but not before I told the frontman that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant."
47,guy negative <sep> seat neutral <sep> Paris neutral,frontman negative,"aspect analysis: This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him (frontman) that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant."
48,quality negative <sep> sushi neutral <sep> waiters negative <sep> miso soup neutral,sushi negative <sep> waiters negative <sep> miso soup neutral,"aspect analysis: The quality of the sushi was bad, the way it was cut was bad, and the waiters kept trying to clear off my miso soup even when it wasn't finished."
49,quality negative <sep> sushi neutral <sep> waiters negative <sep> miso soup neutral,sushi negative <sep> waiters negative <sep> miso soup neutral,"aspect analysis: The quality of the sushi was bad, the way the sushi was cut was bad, and the waiters kept trying to clear off my miso soup even when it wasn't finished."
50,quality negative <sep> sushi neutral <sep> waiters negative <sep> miso soup neutral,sushi negative <sep> waiters negative <sep> miso soup neutral,"aspect analysis: The quality of the sushi was bad, the way it (sushi) was cut was bad, and the waiters kept trying to clear off my miso soup even when it wasn't finished."
51,Server negative <sep> soup neutral,Server positive <sep> soup neutral,aspect analysis: but the Server informed us that they wanted to make the soup their own and that she hopes we like it.
52,soup neutral <sep> Server positive,Server positive <sep> soup neutral,aspect analysis: but the Server informed us that they wanted to make the soup their own and that the Server hopes we like it.
53,Server negative <sep> soup neutral,Server positive <sep> soup neutral,aspect analysis: but the Server informed us that they wanted to make the soup their own and that she (Server) hopes we like it.
54,fries neutral <sep> entrees neutral <sep> appetizers neutral <sep> plates negative,busboy negative <sep> appetizers neutral,aspect analysis: On Friday night the busboy was sulky verging on rude; he brought the fries (ordered for the entrees) twice before the appetizers came and then again the minute we'd finished them and looked put out to be asked to take the empty plates away.
55,fries neutral <sep> entrees neutral <sep> appetizers neutral <sep> plates negative,busboy negative <sep> appetizers neutral,aspect analysis: On Friday night the busboy was sulky verging on rude; the busboy brought the fries (ordered for the entrees) twice before the appetizers came and then again the minute we'd finished them and looked put out to be asked to take the empty plates away.
56,fries neutral <sep> entrees neutral <sep> appetizers neutral <sep> plates negative,busboy negative <sep> appetizers neutral,aspect analysis: On Friday night the busboy was sulky verging on rude; he (busboy) brought the fries (ordered for the entrees) twice before the appetizers came and then again the minute we'd finished them and looked put out to be asked to take the empty plates away.
57,menu neutral <sep> waitress negative,steak special negative <sep> menu neutral <sep> waitress negative <sep> temperature negative,aspect analysis: i got a steak special that was way overpriced ($12 more then the steak on the menu and no warning from the waitress) and it was cooked to the wrong temperature.
58,menu neutral <sep> waitress negative,steak special negative <sep> menu neutral <sep> waitress negative <sep> temperature negative,aspect analysis: i got a steak special that was way overpriced ($12 more then the steak on the menu and no warning from the waitress) and the steak special was cooked to the wrong temperature.
59,menu neutral <sep> waitress negative,steak special negative <sep> menu neutral <sep> waitress negative <sep> temperature negative,aspect analysis: i got a steak special that was way overpriced ($12 more then the steak on the menu and no warning from the waitress) and it (steak special) was cooked to the wrong temperature.
60,unbiased <sep> regular positive,restaurant positive,"aspect analysis: – This is my ""must bring out of town guests to"" restaurant and they always enjoy and rave about it."
61,guests neutral <sep> service positive,restaurant positive,"aspect analysis: – This is my ""must bring out of town guests to"" restaurant and they always enjoy and rave about the restaurant."
62,out of town guests positive <sep> restaurant neutral,restaurant positive,"aspect analysis: – This is my ""must bring out of town guests to"" restaurant and they always enjoy and rave about it (restaurant)."
63,space negative <sep> setting neutral,space negative,"aspect analysis: The space kind of feels like an Alice in Wonderland setting, without it trying to be that."
64,setting neutral <sep> space negative,space negative,"aspect analysis: The space kind of feels like an Alice in Wonderland setting, without the space trying to be that."
65,space positive <sep> setting neutral,space negative,"aspect analysis: The space kind of feels like an Alice in Wonderland setting, without it (space) trying to be that."
66,beers positive <sep> food positive <sep> dish neutral <sep> pumkin tortelini positive,beers positive <sep> food positive <sep> pumkin tortelini positive,"aspect analysis: The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
67,beers positive <sep> food positive <sep> dish neutral,beers positive <sep> food positive <sep> pumkin tortelini positive,"aspect analysis: The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish pumkin tortelini must be the pumkin tortelini."
68,beers positive <sep> food positive <sep> dish positive,beers positive <sep> food positive <sep> pumkin tortelini positive,"aspect analysis: The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it (pumkin tortelini) must be the pumkin tortelini."
69,Jekyll and Hyde Pub positive <sep> 2 neutral,Jekyll and Hyde Pub positive,"aspect analysis: My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic."
70,Jekyll and Hyde Pub positive <sep> anniversary neutral,Jekyll and Hyde Pub positive,"aspect analysis: My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise Jekyll and Hyde Pub was fantastic."
71,Jekyll and Hyde Pub positive <sep> anniversary neutral,Jekyll and Hyde Pub positive,"aspect analysis: My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it (Jekyll and Hyde Pub) was fantastic."
72,scallops positive <sep> appetizer neutral <sep> sauce positive,scallops positive <sep> sauce positive,aspect analysis: We had the scallops as an appetizer and they were delicious and the sauce was wonderful.
