review_id,sentences_ids,sentences_texts,sentences_opinions
1467,211,Service and food is what any one would expect when spending that type of money.,Service neutral <sep> food neutral
2266,600,"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",table negative <sep> dinner positive
2794,945,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",cafe positive <sep> outdoor chairs positive <sep> tables positive <sep> service negative
347,3650,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",gin and tonic neutral <sep> tonic neutral
801,179,"Service was prompt, friendly and great.",Service positive
325,2396,All the NYU students love this place so it makes for a fun young atmosphere.,atmosphere positive
1790,488,I would have gotten some cole slaw and a knish if my stomach had more space.,cole slaw neutral <sep> knish neutral
1326,2774,Service is not what one would expect from a joint in this price category.,Service negative <sep> price category negative
881,2017,Be careful of portions - they're HUGE.,portions positive
1859,877,So some of the reviews here are accurate about the crowd and noise.,crowd negative <sep> noise negative
399,198,"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",place positive
244,809,would have rather tried terrace in the sky or water club for that price,price negative
1453,233,Service was good and food is wonderful.,Service positive <sep> food positive
1530,1213,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,service negative <sep> food negative
1996,3139,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",tanks negative <sep> tanks positive <sep> dim sum neutral <sep> brunch neutral
2695,1566,"Just straight up cheap, good food.",food positive
1282,566,"Got club soda, filled with ice, no lime.","club soda, filled with ice, no lime neutral"
169,2469,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco positive <sep> mussels positive <sep> glass of Leaping Lizard positive
2099,2418,"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.",bread positive <sep> paratha bread positive <sep> bread negative <sep> stuffing positive <sep> tandoori positive
641,776,The food was great.,food positive
452,766,The dim sum however was very good.,dim sum positive
699,2280,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",round tables positive <sep> Taiwanese positive
1456,960,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal positive
1822,46,The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.,food positive
62,324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials neutral
593,3039,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,lunch specials negative
2206,1268,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",mussaman curry negative <sep> fried tofu negative <sep> potato negative
1845,1852,My biggest complaint was the un-tasty food although presented well.,food conflict
695,193,The food is great and reasonably priced.,food positive <sep> priced positive
279,2201,bottles of wine are cheap and good.,bottles of wine positive
2173,2006,"The service was attentive, yet discreet.",service positive
1675,831,I must say it's a little pricey for the food because it was not as spectacular as the view.,food negative
703,2766,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food positive <sep> dishes positive <sep> specials positive <sep> regular menu-fare positive
2345,3302,The staff offers impeccable service.,staff positive <sep> service positive
1724,3513,"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.",service negative <sep> staff negative
2901,943,Very good wine choices.,wine choices positive
33,3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe positive <sep> owner positive <sep> service positive
420,2872,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff conflict
1166,1279,Awsome Pizza especially the Margheritta slice.,Pizza positive <sep> Margheritta positive
489,719,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",Asian appetizers positive <sep> drinks positive
1257,1054,"But they don't have a toaster, which is strange.",toaster negative
1878,584,Rao's has the best service and atmosphere in NYC.,service positive <sep> atmosphere positive
32,2227,My suggestion is to eat family style because you'll want to try the other dishes.,dishes neutral <sep> eat family style positive
1068,662,I always get the Shabu-Shabu dinner and the beef is always fresh.,Shabu-Shabu dinner neutral <sep> beef positive
1939,3516,The prices are about $9 for an entree for dinner and even less for lunch.,prices positive <sep> entree positive <sep> dinner neutral <sep> lunch positive
388,494,"Try the hot dogs too, they're snappy and delicious.",hot dogs positive
718,3116,"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",waitstaff positive
469,9,"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress negative
2041,1384,Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.,food positive <sep> price positive
2293,752,"I have been there many times, and food is good and consistent.",food positive
1553,536,"Be sure to try the seasonal, and always delicious, specials.",specials positive
2304,1724,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",atmosphere positive
772,1925,"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",Chef negative
989,2025,No free drink.,drink neutral
1598,2028,"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.",cheese positive <sep> menu positive
2048,1167,As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.,fried dumpling positive
2197,308,"After a seafood craving, i checked citysearch and chose to go to Fish based on a previous review and the citysearch info.",seafood neutral
2883,2400,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,exotic salad positive <sep> green salad positive <sep> sweet basil fried tofu positive <sep> peanut sauce positive
50,2384,The fried rice is amazing here.,fried rice positive
2203,1078,The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,fillings neutral <sep> dosa batter positive
563,1711,Diner food at bistro prices is a bummer....,food negative <sep> prices negative
2634,2399,They are served with a free appetizer and the portions are perfect for lunch.,appetizer positive <sep> portions positive <sep> served neutral <sep> lunch neutral
1868,946,"We only ordered desserts and drinks, but no refills were offered.",desserts neutral <sep> drinks neutral
3037,1027,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",bottle of sake neutral <sep> edamames neutral <sep> sushi plat neutral <sep> sashimi neutral
687,563,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,diner neutral <sep> wait staff negative <sep> table negative
1086,3141,The service is a little scatty at times but all is forgiven when the food arrives.,service negative <sep> food positive
2723,2748,The service was the only thing good about this restaurant.,service positive
1252,1645,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,sushi positive <sep> sushi places positive <sep> quality positive
490,3669,"Please if your thinking about it go, and stay the wait you won't be disappointed.",wait negative
791,911,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food positive <sep> pork belly negative <sep> fat negative
644,2894,All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food positive
1885,3697,"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.",corned beef positive <sep> pastrami positive
127,2804,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers positive
1997,2667,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",Halibut negative <sep> dessert neutral <sep> service negative
1030,3279,And the prices were way to high for what you get.,prices negative
821,742,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere positive
2660,3487,I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).,waterbugs negative
2389,2095,"Stick to dimsum, not super overpriced noodles.",noodles neutral <sep> dimsum positive
1099,2294,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,cold appetizer dishes positive
712,1548,"The food is terrible and overall, I would have to say avoid at all costs.",food negative
429,45,Ive been here a bunch of times now and the service is always outstanding.,service positive
1534,3456,The staff was knowledgeable and full of personality.,staff positive
1368,3361,The rest of the menu is limited by everything is good eats.,menu conflict <sep> eats positive
77,912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection positive <sep> wine-by-the-glass positive
