review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
es_barceloneta_98_XavierSoler_2010-10-30,id_0,Very good restaurant.,restaurant positive,10-20,Muy buen restaurante.,restaurante positive
es_luis-candelas-zaragoza_comment-4502,id_2,"Ana's attention was magnificent and today the icing on the cake was a carajillo of rum, as it should be, the work of a good waitress.",Ana positive <sep> waitress positive,0-3 <sep> 124-132,"Magnífica la atención de Ana y hoy la guinda fue un carajillo de ron, como debe ser, obra de una buena camarera.",Ana positive <sep> camarera positive
es_aragonia-palafox-zaragoza_comment-4199,id_3,"And the place is beautifully decorated, simple, but elegant.",place positive,8-13,"Y el lugar está muy bien decorado, sencillo, pero elegante.",lugar positive
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,id_2,Unbeatable service and exceptional food !!,service positive,11-18,El servicio inmejorable y la comida excepcional!!,servicio positive <sep> comida positive
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,id_3,"It is always just as excellent, with impeccable service.",service positive,48-55,"Siempre es igual de excelente, con un servicio impecable.",servicio positive
es_bal-donsera-zaragoza_comment-1413,id_12,"Of course, the roe is a bit repetitive, in the first three dishes.",roe negative,15-18,"Eso sí, un poco repetitivas las huevas, en los tres primeros platos.",huevas negative
es_barceloneta_87_Lonly_2011-03-23,id_1,Very good service and very comfortable (they park your car).,service positive,10-17,Muy buen servicio y muy cómodo (te aparcan el coche).,servicio positive
es_barceloneta_107_Pedro_2009-07-29,id_2,"From there, serious faces (not to say in a bad mood), distracted, of the waiters ... who sometimes made themselves wait, and other times they rushed to clear the table.",Waiters negative,73-80,"A partir de ahi, caras serias (por no decir de mal humor), distraidas, de los camareros... que a veces se hacían esperar, y otras veces se abalanzaban para liquidar la mesa.",camareros negative
es_bodega-de-chema-la-zaragoza_comment-4202,id_1,"The service was good, fast and without problems.",service positive,4-11,"El servicio fue bien, rápido y sin problemas.",servicio positive
es_barceloneta_150_Juan_2006-07-04,id_0,"Authentic luxury restaurant, with a very entertaining pianist who makes you spend a romantic dinner especially if you are accompanied by someone special.",restaurant positive <sep> Pianist positive,17-27 <sep> 54-61,"restaurante de lujo autentico, con un pianista muy ameno que te hace pasar una cena romantica especialmente si vas acompañado de alguien especial.",restaurante positive <sep> pianista positive
es_neguri-zaragoza_comment-3584,id_2,I will not come back.,I will not come back negative,0-20,no volvere.,no volvere negative
es_barceloneta_27_Alberto_2013-10-14,id_0,Great classic of Barceloneta with an unbeatable service !!!,service positive,48-55,Gran clasico de la barceloneta con un servicio inmejorable!!!,servicio positive
es_barceloneta_57_GemmaAsensio_2012-05-20,id_0,Very fresh and tasty fish and seafood.,Fish positive,21-25,Pescado y marisco muy fresco y sabroso.,Pescado positive <sep> marisco positive
es_bodega-de-chema-la-zaragoza_comment-4548,id_1,Unbeatable service and fantastic dinner.,Service positive <sep> Dinner positive,11-18 <sep> 33-39,Servicio inmejorable y la cena fantástica.,Servicio positive <sep> cena positive
es_bodega-de-chema-la-zaragoza_comment-4372,id_0,A rich menu.,menu positive,7-11,Un menú rico.,menú positive
es_la_poma_24_JosepMMora_2014-03-23,id_2,In the discount voucher it does not put any of this.,discount voucher negative,7-23,En el vale descuento no pone nada de esto.,vale descuento negative
es_ratatouille-zaragoza_comment-4799,id_1,Spectacular grilled sardines.,sardines positive,20-28,Las sardinas a la brasa espectaculares.,sardinas positive
es_la_poma_14_TomeuDuran_2014-09-29,id_0,Perfect restaurant.,restaurant positive,8-18,Perfecto restaurante.,restaurante positive
es_colette-zaragoza_comment-1142,id_1,Excellent dinner!,Dinner positive,10-16,¡Excelente cena!,cena positive
es_cullera_de_boix_66_FranciscoYNieves_2012-05-13,id_0,We found the tasting menu to be good and varied with a very attentive service and a pleasant treatment and the food was good with a good value for money.,tasting menu positive <sep> service positive,13-25 <sep> 70-77,El menú  degustacion nos pareció bueno y variado con un servicio muy atento y un trato agradable y la comida estaba buena con una buena relación calidad precio.,menú  degustacion positive <sep> servicio positive <sep> comida positive
es_mas-torres-zaragoza_comment-4464,id_0,"I could not comment, but the truth is a very good place, with strong dishes.",dishes positive,69-75,"No pude comentar, pero la verdad muy buen sitio, con platos contundentes.",sitio positive <sep> platos positive
es_cullera_de_boix_88_Sebastian_2011-04-25,id_1,"As soon as you enter an impressive smell of unclean cuisine, then some starters",smell negative,35-40,"Nada más entrar un olor impresionante a cocina poco limpia, luego unos entrantes",olor negative
es_barceloneta_28_EsperanzaDiesteSantatala_2013-09-27,id_1,Very friendly and professional service.,Service positive,31-38,Servicio muy amable y profesional.,Servicio positive
es_doble-uno-zaragoza_comment-4523,id_0,"The tasting menu is worth it, for 32.50 euros it has an excellent quality.",tasting menu positive,4-16,"Merece la pena el menu degustación, por 32,50 euros tiene una calidad excelente.",menu degustación positive
es_real-el-zaragoza_comment-4330,id_3,Totally recommendable.,Totally recommendable. positive,0-22,Recomendable totalmente.,Recomendable totalmente. positive
es_colette-zaragoza_comment-1146,id_2,The most remarkable thing for me is the use of low temperature cooking in many dishes and spectacular and worked presentations.,presentations positive <sep> low temperature cooking positive,113-126 <sep> 47-70,Lo más destacable para mí es el uso de la cocción a baja temperatura en muchos platos y presentaciones espetaculares y trabajadas.,presentaciones positive <sep> cocción a baja temperatura positive
es_colette-zaragoza_comment-574,id_1,"Excellent facilities, very good service and unbeatable cuisine… worth trying.",facilities positive,10-20,"Excelentes istalaciones, muy buena atención e inmejorable cocina… digno de probar.",istalaciones positive <sep> atención positive <sep> cocina positive
es_balmes_rossello_12_LauraRamosMartinez_2015-02-23,id_2,Somewhat expensive for the whole restaurant.,restaurant negative,33-43,Algo caro para el conjunto del restaurante.,restaurante negative
es_cullera_de_boix_24_CarmeBayo_2014-02-02,id_1,"Very comfortable the situation to move with public transport, metro and bus next door.",situation positive,21-30,"Muy cómoda la situación para trasladarse con transporte público, metro y bus al lado.",situación positive
es_bal-donsera-zaragoza_comment-1413,id_23,"The worst, for me, the service.",service negative,23-30,"Lo peor, para mí, el servicio.",servicio negative
es_cullera_de_boix_15_ToniLopezEspinar_2014-09-07,id_0,"Dinner for two with a very good service, we found a quiet and cozy restaurant.",service positive <sep> restaurant positive,32-39 <sep> 67-77,"Cena para dos con una muy buena atencion del servicio, encontramos un restaurante tranquilo y acogedor.",servicio positive <sep> restaurante positive
es_mas-torres-zaragoza_comment-3973,id_0,"It is a correct site, no more.",site neutral,16-20,"Es un sitio correcto, sin mas.",sitio neutral
