Predicted idx,Gold idx
[],"[(0, 3), (5, 10), (53, 61)]"
"[(25, 29)]","[(25, 29), (40, 47), (65, 68)]"
"[(11, 13), (44, 51)]","[(0, 4), (94, 98)]"
"[(17, 27), (53, 56)]","[(46, 51), (86, 91)]"
[],"[(10, 13), (51, 55)]"
"[(5, 8)]","[(5, 8), (22, 28)]"
[],"[(33, 39), (41, 45), (55, 59)]"
"[(34, 42)]","[(13, 21), (58, 62), (91, 94)]"
"[(0, 14), (29, 38), (75, 80), (118, 124), (126, 128), (172, 177)]","[(0, 19), (68, 80), (87, 116), (118, 128), (130, 142), (144, 149), (151, 162), (172, 177)]"
"[(0, 4), (44, 47), (49, 52), (131, 139)]","[(6, 11), (30, 33), (54, 61)]"
[],"[(0, 8), (31, 54), (56, 92)]"
"[(22, 26), (49, 49)]","[(11, 16), (18, 20), (22, 33)]"
"[(43, 46)]","[(0, 4), (12, 17), (23, 27), (29, 35)]"
[],"[(17, 26), (53, 55)]"
"[(0, 3)]","[(23, 26), (45, 49)]"
"[(53, 59), (92, 98)]","[(0, 7), (16, 21), (63, 66)]"
"[(0, 6), (44, 48), (59, 61)]","[(26, 32), (34, 37), (50, 53)]"
[],"[(15, 18), (20, 27), (29, 35)]"
"[(0, 4), (6, 9), (22, 27), (45, 47), (114, 118)]","[(0, 9), (60, 75), (169, 175)]"
"[(10, 20), (34, 37)]","[(0, 3), (34, 37)]"
"[(0, 5)]","[(0, 5), (29, 39), (41, 44)]"
"[(66, 71)]","[(0, 6), (8, 12), (24, 28), (66, 71)]"
"[(7, 10), (12, 15)]","[(17, 19), (43, 47)]"
"[(28, 30)]","[(0, 3), (11, 16), (53, 57)]"
"[(15, 20)]","[(5, 13), (16, 28), (30, 40), (42, 58), (73, 77)]"
[],"[(28, 33), (41, 45), (65, 74)]"
"[(36, 43)]","[(0, 8), (10, 19), (36, 43), (62, 72)]"
"[(14, 20), (22, 32), (43, 46), (56, 63), (65, 69)]","[(5, 12), (14, 20), (43, 46)]"
[],"[(13, 18), (42, 48)]"
[],"[(2, 5), (18, 22)]"
[],"[(10, 16), (36, 39)]"
"[(24, 27), (49, 50)]","[(0, 6), (36, 47)]"
"[(18, 25), (48, 53), (55, 58)]","[(8, 14), (48, 51), (55, 63)]"
"[(42, 45), (59, 63), (75, 83)]","[(0, 5), (65, 69)]"
[],"[(18, 21), (23, 46), (53, 58), (60, 62)]"
[],"[(5, 10), (12, 16)]"
"[(63, 71), (73, 80)]","[(51, 56), (82, 85)]"
"[(21, 23), (107, 114)]","[(0, 3), (78, 84), (107, 114)]"
"[(9, 16), (39, 50), (71, 85), (87, 91)]","[(0, 7), (27, 37), (87, 91)]"
"[(8, 12), (20, 25), (39, 44)]","[(14, 17), (46, 49)]"
"[(9, 16), (18, 21)]","[(9, 16), (40, 44)]"
[],"[(24, 27), (34, 38)]"
"[(37, 42)]","[(11, 17), (19, 22), (68, 73)]"
"[(0, 4), (11, 16), (18, 23), (25, 27)]","[(0, 4), (29, 33)]"
"[(26, 34), (52, 53)]","[(0, 24), (26, 34), (36, 53)]"
[],"[(5, 16), (18, 22)]"
"[(47, 54)]","[(31, 35), (56, 58)]"
"[(0, 5)]","[(50, 60), (64, 74)]"
"[(7, 14)]","[(7, 14), (26, 30)]"
"[(10, 12), (47, 52)]","[(14, 16), (41, 45)]"
[],"[(14, 22), (35, 48)]"
[],"[(8, 20), (29, 37), (39, 41), (43, 52)]"
"[(28, 32), (56, 59)]","[(0, 6), (13, 17), (56, 59)]"
"[(10, 15), (23, 29), (57, 63), (65, 71)]","[(23, 29), (52, 55)]"
"[(38, 41)]","[(0, 5), (23, 26)]"
[],"[(0, 5), (72, 75)]"
"[(17, 22), (29, 32)]","[(4, 9), (24, 27)]"
[],"[(0, 11), (48, 52)]"
"[(34, 40), (48, 52)]","[(17, 23), (42, 52)]"
"[(40, 44), (72, 79), (81, 85)]","[(0, 4), (21, 26), (87, 93), (95, 100), (106, 109)]"
"[(47, 51)]","[(25, 39), (53, 56)]"
"[(16, 21), (47, 50), (52, 60)]","[(8, 21), (35, 41), (52, 60)]"
"[(19, 24)]","[(0, 3), (19, 24)]"
"[(8, 11)]","[(44, 46), (64, 67)]"
"[(66, 71)]","[(24, 34), (53, 58), (60, 64)]"
[],"[(43, 48), (67, 71)]"
[],"[(21, 27), (41, 44)]"
"[(49, 55), (77, 80)]","[(63, 72), (97, 98), (122, 131)]"
"[(18, 22), (57, 60)]","[(5, 12), (18, 22), (62, 67)]"
[],"[(0, 6), (27, 30), (38, 49)]"
"[(6, 9), (24, 30)]","[(24, 30), (54, 57)]"
"[(59, 70), (80, 87), (89, 93), (113, 119), (121, 129)]","[(7, 11), (15, 33), (72, 87), (131, 167)]"
"[(53, 56)]","[(0, 5), (40, 56)]"
"[(0, 4)]","[(15, 24), (37, 39)]"
"[(32, 36)]","[(6, 10), (23, 36)]"
"[(0, 6), (14, 19), (21, 26)]","[(28, 33), (60, 65)]"
[],"[(24, 30), (32, 37)]"
"[(39, 42), (49, 53)]","[(0, 20), (27, 37), (39, 47)]"
[],"[(0, 6), (20, 25)]"
[],"[(27, 34), (47, 51)]"
"[(30, 35), (97, 100)]","[(11, 13), (22, 28), (30, 41), (62, 67)]"
"[(95, 97)]","[(0, 18), (33, 45), (95, 97)]"
[],"[(0, 6), (8, 14), (24, 27)]"
[],"[(35, 39), (62, 66), (68, 71)]"
"[(68, 72)]","[(7, 17), (31, 35)]"
"[(31, 41)]","[(25, 29), (43, 49), (51, 54)]"
[],"[(11, 17), (19, 23)]"
"[(59, 63), (65, 67), (69, 74), (119, 123), (157, 165), (177, 187), (203, 205), (214, 223)]","[(4, 6), (26, 33), (108, 111), (167, 175)]"
"[(5, 8), (109, 116)]","[(5, 8), (101, 107)]"
"[(26, 36), (47, 55), (95, 105)]","[(38, 45), (107, 114)]"
"[(0, 6)]","[(13, 29), (31, 34)]"
"[(12, 17), (30, 32)]","[(0, 10), (19, 25)]"
"[(75, 81)]","[(0, 9), (55, 61), (70, 73), (75, 81), (83, 90), (139, 146)]"
"[(8, 12), (19, 24), (43, 50), (60, 65), (99, 104), (106, 112)]","[(72, 78), (99, 103)]"
"[(0, 4)]","[(6, 10), (12, 16)]"
"[(15, 19), (66, 70)]","[(23, 27), (33, 40)]"
"[(0, 5), (33, 36)]","[(14, 19), (28, 31)]"
"[(18, 21)]","[(0, 10), (46, 53)]"
"[(35, 37)]","[(31, 42), (48, 52)]"
