review_id,sentences_ids,sentences_texts,sentences_opinions
507844,id_0,This place would be so much better served by being run by a group that actually understands customer service.,customer service negative
1131595,id_0,This place is incredibly tiny.,place negative
1395421,id_0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,place positive
1748839,id_7,"For the people who want great food plus great service, Roxy is a place to AVOID!",food negative <sep> service negative
611117,id_0,Best Reuben sandwich ever!,Reuben sandwich positive
FF#10,id_3,The design of the space is good.,space positive
1398844,id_2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",tables negative <sep> menu neutral <sep> wine list negative
717570,id_2,The food was delicious but do not come here on a empty stomach.,food positive <sep> food negative
682391,id_3,Best Taiwanese food in NY!,Taiwanese food positive
511290,id_2,You must try the shrimp appetizers.,shrimp appetizers positive
404464,id_0,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",people positive <sep> food negative <sep> Thalia positive
CLF#5,id_5,We were drawn into the belly dancing show that captivated the crowd.,belly dancing show positive
496132,id_0,This is the kind of place you'd like to take all your friends to and still keep a secret.,place positive
505535,id_1,"the pad se ew chicken was delicious, however the pad thai was far too oily.",pad se ew chicken positive <sep> pad thai negative
1728733,id_6,I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,restaurant positive
541532,id_2,"Food was very good, but not what I would consider out of this world.",Food neutral
CLF#3,id_22,My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.,chicken negative
958809,id_2,We could have made a meal of the yummy dumplings from the dumpling menu.,dumplings positive
455623,id_0,Love Pizza 33..,Pizza 33 positive
1448587,id_4,Problem is nothing at Prune is particularly memorable.,Prune negative
740923,id_1,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",fish negative <sep> staff negative <sep> sushi chef negative
1663111,id_2,"Excellent atmosphere, delicious dishes good and friendly service.",atmosphere positive <sep> dishes positive <sep> service positive
1655521,id_3,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff positive
620892,id_5,"Service, however, was excellent...and I liked the setting/atmosphere a lot.",Service positive <sep> setting/atmosphere positive
1748839,id_0,The food was mediocre at best but it was the horrible service that made me vow never to go back.,food negative <sep> service negative
1655504,id_5,"Be sure to try the seasonal, and always delicious, specials.",specials positive
957145,id_1,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,service positive <sep> staff positive
1496205,id_1,The location and ambience is Ok but the food is what makes up for it.,location neutral <sep> ambience neutral <sep> food positive
430342,id_0,delicious simple food in nice outdoor atmosphere.,food positive <sep> outdoor atmosphere positive
1264954,id_2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",chicken pot pie positive <sep> cheeseburger positive <sep> service positive
1074868,id_4,The food was well prepared and the service impecable.,food positive <sep> service positive
1167434,id_3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu negative
1387314,id_1,This is my first time writing a review for a restaurant because the food and service was excellent.,food positive <sep> service positive
RL#7,id_1,my favorite place lol,place positive
717570,id_4,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna positive <sep> chocolate bread pudding positive
1280179,id_3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food positive <sep> raw vegatables in side orders negative
BzG#1,id_0,The Cypriot restaurant has a lot going for it.,Cypriot restaurant positive
1448587,id_1,The menu is very limited - i think we counted 4 or 5 entrees.,menu negative
530517,id_0,Lucky Strike is a great casual place to just grab a bite to eat.,Lucky Strike positive
1340075,id_5,The takeout is great too since they give high quality tupperware as well.,takeout positive
1460715,id_0,Great pizza for lunch place.,pizza positive
CLF#3,id_12,The hostess was very pleasant.,hostess positive
1147211,id_2,The waitress was very patient with us and the food is phenomenal!,waitress positive <sep> food positive
1726427,id_3,Definitely a great spot for a nice occasion or date.,spot positive
FF#10,id_6,The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.,waiter negative
TM#4,id_0,"Indo Chinese food, pretty good...",Indo Chinese food positive
Z#6,id_5,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",BBE $29 fixe prix menu positive
1460715,id_4,Have the iced tea.,iced tea positive
1145510,id_1,The pizza is yummy and I like the atmoshpere.,pizza positive <sep> atmoshpere positive
1189674,id_4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection positive <sep> Gigondas positive <sep> house champagne positive
746254,id_4,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food negative <sep> wait-staff negative <sep> service negative <sep> management negative
