review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
507844,id_0,This place would be so much better served by being run by a group that actually understands customer service.,customer service negative,"Это место было бы намного лучше обслуживать, если бы им управляла группа, которая действительно разбирается в обслуживании клиентов.",обслуживание клиентов negative
1131595,id_0,This place is incredibly tiny.,place negative,Это место невероятно крошечное.,место negative
1395421,id_0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,place positive,Моя подруга и я наткнулись на это место для прыжков прошлой ночью и прекрасно провели время!,место positive
1748839,id_7,"For the people who want great food plus great service, Roxy is a place to AVOID!",food negative <sep> service negative,"Для людей, которые хотят отличную еду и отличный сервис, Roxy - это место, КОТОРОЕ НЕОБХОДИМО ИЗБЕГАТЬ!",еда negative <sep> услуга negative
611117,id_0,Best Reuben sandwich ever!,Reuben sandwich positive,Лучший бутерброд с Рубеном!,Сэндвич с рубеном positive
FF#10,id_3,The design of the space is good.,space positive,Дизайн помещения удачный.,Космос positive
1398844,id_2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",tables negative <sep> menu neutral <sep> wine list negative,"Столы забиты слишком близко, меню типично для любого итальянского ресторана, а карта вин просто завышена.",столы negative <sep> меню neutral <sep> винная карта negative
717570,id_2,The food was delicious but do not come here on a empty stomach.,food positive <sep> food negative,"Еда была вкусной, но не приходите сюда натощак.",еда positive <sep> еда negative
682391,id_3,Best Taiwanese food in NY!,Taiwanese food positive,Лучшая тайваньская кухня в Нью-Йорке!,Тайваньская кухня positive
511290,id_2,You must try the shrimp appetizers.,shrimp appetizers positive,Обязательно попробуйте закуски из креветок.,закуски из креветок positive
404464,id_0,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",people positive <sep> food negative <sep> Thalia positive,"Thalia - красивый ресторан, где вас обслуживают красивые люди, но еда не совсем подходит.",люди positive <sep> еда negative <sep> Талия positive
CLF#5,id_5,We were drawn into the belly dancing show that captivated the crowd.,belly dancing show positive,"Мы были втянуты в шоу танца живота, которое покорило публику.",шоу танца живота positive
496132,id_0,This is the kind of place you'd like to take all your friends to and still keep a secret.,place positive,"Это то место, куда вы хотите отвести всех своих друзей и при этом сохранить в секрете.",место positive
505535,id_1,"the pad se ew chicken was delicious, however the pad thai was far too oily.",pad se ew chicken positive <sep> pad thai negative,"курица с подушечками была восхитительна, но тайская лапша была слишком маслянистой.",Pad se ew курица positive <sep> тайская подушка negative
1728733,id_6,I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,restaurant positive,"Я поблагодарил друга, который порекомендовал мне этот ресторан, и обязательно порекомендую его другим.",ресторан positive
541532,id_2,"Food was very good, but not what I would consider out of this world.",Food neutral,"Еда была очень хорошей, но не то, что я считаю необычным.",Еда neutral
CLF#3,id_22,My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.,chicken negative,"Моя курица была несъедобной, так как было так много жирных комков, которые мне приходилось все время выплевывать на салфетку.",курица negative
958809,id_2,We could have made a meal of the yummy dumplings from the dumpling menu.,dumplings positive,Мы могли бы приготовить аппетитные клецки из меню с клецками.,пельмени positive
455623,id_0,Love Pizza 33..,Pizza 33 positive,Люблю пиццу 33 ..,Пицца 33 positive
1448587,id_4,Problem is nothing at Prune is particularly memorable.,Prune negative,Проблема ни в чем у Prune особо не запомнилась.,Чернослив negative
740923,id_1,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",fish negative <sep> staff negative <sep> sushi chef negative,"Если вы не против предварительно нарезанной рыбы низкого качества, недружелюбного персонала и суши-повара, который выглядит несчастным, то это ваше место.",рыба negative <sep> сотрудники negative <sep> суши-повар negative
1663111,id_2,"Excellent atmosphere, delicious dishes good and friendly service.",atmosphere positive <sep> dishes positive <sep> service positive,"Отличная атмосфера, вкусные блюда, хорошее и вежливое обслуживание.",атмосфера positive <sep> тарелки positive <sep> услуга positive
1655521,id_3,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff positive,"Обслуживающий персонал очень дружелюбный, у них создается впечатление, что вы едите в дружелюбном маленьком европейском городке.",подождите персонал positive
620892,id_5,"Service, however, was excellent...and I liked the setting/atmosphere a lot.",Service positive <sep> setting/atmosphere positive,"Обслуживание, однако, было отличным ... и мне очень понравилась обстановка / атмосфера.",Услуга positive <sep> настройка / атмосфера positive
1748839,id_0,The food was mediocre at best but it was the horrible service that made me vow never to go back.,food negative <sep> service negative,"Еда была в лучшем случае посредственной, но именно ужасное обслуживание заставило меня поклясться никогда не возвращаться.",еда negative <sep> услуга negative
1655504,id_5,"Be sure to try the seasonal, and always delicious, specials.",specials positive,Обязательно попробуйте сезонные и всегда вкусные блюда.,специальные предложения positive
957145,id_1,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,service positive <sep> staff positive,Я приезжаю сюда много лет и могу сказать только хорошее об обслуживании и отличном персонале в La Lanterna.,услуга positive <sep> сотрудники positive
1496205,id_1,The location and ambience is Ok but the food is what makes up for it.,location neutral <sep> ambience neutral <sep> food positive,"Расположение и атмосфера в порядке, но еда компенсирует это.",место нахождения neutral <sep> атмосфера neutral <sep> еда positive
430342,id_0,delicious simple food in nice outdoor atmosphere.,food positive <sep> outdoor atmosphere positive,вкусная простая еда в приятной атмосфере на открытом воздухе.,еда positive <sep> наружная атмосфера positive
1264954,id_2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",chicken pot pie positive <sep> cheeseburger positive <sep> service positive,"Пирог с курицей - excpetiona, чизбургер - огромный и деликатный, а профессиональное обслуживание - тёплое.",пирог с курицей positive <sep> чизбургер positive <sep> услуга positive
1074868,id_4,The food was well prepared and the service impecable.,food positive <sep> service positive,"Еда была хорошо приготовлена, а обслуживание безупречно.",еда positive <sep> услуга positive
1167434,id_3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu negative,"но когда мы посмотрели на меню, там было не так много вариантов, большинство из них были клецками в разделе закусок.",меню negative
1387314,id_1,This is my first time writing a review for a restaurant because the food and service was excellent.,food positive <sep> service positive,"Я впервые пишу отзыв о ресторане, потому что еда и обслуживание были отличными.",еда positive <sep> услуга positive
RL#7,id_1,my favorite place lol,place positive,"моё любимое место, лол",место positive
717570,id_4,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna positive <sep> chocolate bread pudding positive,"Вы должны иметь лазанью с крабовым мясом, которая не из этого мира, и шоколадный пудинг на десерт.",лазанья с крабовым мясом positive <sep> шоколадный хлебный пудинг positive
1280179,id_3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food positive <sep> raw vegatables in side orders negative,"Еда обычно очень хорошая, хотя иногда я задавался вопросом о свежих сырых овощах в дополнительных заказах.",Еда positive <sep> сырые овощи в дополнительных заказах negative
BzG#1,id_0,The Cypriot restaurant has a lot going for it.,Cypriot restaurant positive,У кипрского ресторана много интересного.,Кипрский ресторан positive
1448587,id_1,The menu is very limited - i think we counted 4 or 5 entrees.,menu negative,"Меню очень ограниченное - я думаю, мы насчитали 4 или 5 блюд.",меню negative
530517,id_0,Lucky Strike is a great casual place to just grab a bite to eat.,Lucky Strike positive,"Lucky Strike - отличное место, где можно просто перекусить.",Удачный выстрел positive
1340075,id_5,The takeout is great too since they give high quality tupperware as well.,takeout positive,"Еда на вынос тоже отличная, так как они также дают высококачественную посуду.",выиграть positive
1460715,id_0,Great pizza for lunch place.,pizza positive,Отличная пицца на обед.,пицца positive
CLF#3,id_12,The hostess was very pleasant.,hostess positive,Хозяйка была очень приятной.,хозяйка positive
1147211,id_2,The waitress was very patient with us and the food is phenomenal!,waitress positive <sep> food positive,"Официантка была очень терпеливой с нами, и еда феноменальная!",официантка positive <sep> еда positive
1726427,id_3,Definitely a great spot for a nice occasion or date.,spot positive,Определенно отличное место для приятного случая или свидания.,"пятно, место positive"
FF#10,id_6,The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.,waiter negative,"Официант доставил нам еду, держа в руке что-то вроде полиэтиленового пакета с мусором.",официант negative
TM#4,id_0,"Indo Chinese food, pretty good...",Indo Chinese food positive,"Индо китайская еда, довольно хорошо ...",Индо китайская кухня positive
Z#6,id_5,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",BBE $29 fixe prix menu positive,"На моей вечеринке было фиксированное призовое меню BBE за 29 долларов, что было таким замечательным предложением, поскольку оно также сопровождалось полетом саке!",BBE $ 29 fixe prix меню positive
1460715,id_4,Have the iced tea.,iced tea positive,Выпей холодный чай.,чай со льдом positive
1145510,id_1,The pizza is yummy and I like the atmoshpere.,pizza positive <sep> atmoshpere positive,"Пицца вкусная, и мне нравится атмосфера.",пицца positive <sep> atmoshpere positive
1189674,id_4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection positive <sep> Gigondas positive <sep> house champagne positive,"Отличный выбор вин, Жигонда стоит своей цены, а домашнее шампанское - отличное качество.",выбор вин positive <sep> Gigondas positive <sep> домашнее шампанское positive
746254,id_4,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food negative <sep> wait-staff negative <sep> service negative <sep> management negative,"С таким количеством хороших ресторанов на UWS мне не нужна еда с завышенными ценами, абсурдно высокомерные официанты, которые не признают, что они работают в прославленной закусочной, неуклюжий сервис и менеджмент, которому все равно.",еда negative <sep> подождите персонал negative <sep> услуга negative <sep> управление negative
632121,id_2,"The food is amazing, rich pastas and fresh doughy pizza.",food positive <sep> pastas positive <sep> pizza positive,"Еда восхитительна, паста сытная и пицца свежая, тестовая.",еда positive <sep> пасты positive <sep> пицца positive
1123262,id_1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood positive <sep> wine list positive <sep> menu positive,"Морепродукты восхитительны, есть хорошая карта вин, а постоянно меняющееся меню всегда преподносит сюрпризы.",морепродукты positive <sep> винная карта positive <sep> меню positive
1707201,id_2,The place was nice and calm.,place positive,Место было красивым и спокойным.,место positive
1055910,id_3,Service- friendly and attentive.,Service positive,Обслуживающий и внимательный.,Услуга positive
1451107,id_5,And really large portions.,portions positive,И действительно большие порции.,порции positive
Y#7,id_5,Delivery guy sometimes get upset if you don't tip more than 10%.,Delivery guy negative,"Разносчик иногда расстраивается, если вы не оставляете чаевых больше 10%.",Доставка парень negative
P#10,id_3,And $11 for a plate of bland guacamole?,guacamole negative,И 11 долларов за тарелку мягкого гуакамоле?,гуакамоле negative
1064477,id_4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal positive,"Мы воспользовались скидкой на суши за полцены в субботу, так что оно того стоило.",скидка на суши за полцены positive
1430994,id_2,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Lobster Bisque positive,"У меня был биск из лобстера, в нем 2 унции. ",Биск из лобстера positive
P#9,id_1,Pacifico is a great place to casually hang out.,Pacifico positive,Пасифико - отличное место для непринужденного общения.,Pacifico positive
1154550,id_1,The place is small and cramped but the food is fantastic.,place negative <sep> food positive,"Место маленькое и тесное, но еда фантастическая.",место negative <sep> еда positive
1041457,id_3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree positive,"Единственное, что мне умеренно понравилось, так это их фирменное блюдо из курицы на гриле с пюре из эдамаме.",Курица на гриле с пюре из эдамаме positive
735448,id_1,"whoever the jazz duo was, they were on POINT.",jazz duo positive,"кем бы ни был джазовый дуэт, они были на POINT.",джазовый дуэт positive
476473,id_0,Awsome Pizza especially the Margheritta slice.,Pizza positive <sep> Margheritta slice positive,"Потрясающая пицца, особенно кусок Маргариты.",Пицца positive <sep> Ломтик Маргариты positive
TFS#2,id_1,The food is great and the environment is even better.,food positive <sep> environment positive,"Еда отличная, а окружающая среда еще лучше.",еда positive <sep> среда positive
1623276,id_2,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,restaurant positive,"Это хороший ресторан, если вы ищете хорошее место для проведения интимной встречи за ужином с деловыми партнерами.",ресторан positive
FF#4,id_7,"A different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).",server negative <sep> appetizer positive,"Другой официант увеличил веселье, вывалив наши закуски прямо перед нами в середине закуски (что было восхитительно).",сервер negative <sep> закуска positive
1225162,id_4,The bar is very well stocked with interesting beers and well priced wines.,bar positive <sep> beers positive <sep> wines positive,В баре очень много интересных сортов пива и вин по хорошей цене.,бар positive <sep> пиво positive <sep> вина positive
1506491,id_5,Thank You Emilio.,Emilio positive,"Спасибо, Эмилио.",Эмилио positive
1390357,id_4,The sushi is amazing!!!,sushi positive,Суши потрясающие !!!,суши positive
1661043,id_1,Salads are a delicious way to begin the meal.,Salads positive,Салаты - прекрасное начало трапезы.,Салаты positive
709294,id_5,Staff is very accomodating.,Staff positive,Персонал очень гостеприимный.,Сотрудники positive
1352948,id_1,And where does Patis go wrong; no where.,Patis positive,И где же Патис ошибается; ,Патис positive
470488,id_2,The sushi was awful!,sushi negative,Суши были ужасными!,суши negative
BFC#9,id_18,"Everyone seemed generally happy with their food, except my brother who had the grilled Mahi Mahi, seemingly drenched in Grapfruit Juice!",food positive <sep> grilled Mahi Mahi negative,"Все в целом были довольны своей едой, кроме моего брата, у которого был приготовленный на гриле Махи Махи, казалось бы, залитый Грейпфрутовым соком!",еда positive <sep> махи махи на гриле negative
1471273,id_2,Not impressed with the food.,food negative,Не впечатлен едой.,еда negative
RL#3,id_1,"im not necessarily fanatical about this place, but it was a fun time for low pirces.",place positive,"Я не обязательно фанатично отношусь к этому месту, но это было забавное время для низких пирсов.",место positive
1655521,id_2,"The food was very good, a great deal, and the place its self was great.",food positive <sep> place positive,"Еда была очень хорошей, отличной, и само место было отличным.",еда positive <sep> место positive
535086,id_4,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,Heartland Brewery positive,Я делаю все вышеперечисленное на пивоварне Heartland более 5 лет и НИКОГДА НЕ РАЗОЧАРОВАЛАСЬ!,Пивоварня Heartland positive
1448587,id_3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",decor neutral,"Обстановка в этом заведении очень походит на закусочную, и это место, которое вы ожидаете в Ист-Виллидж, - не романтическое, а просто простое, маленькое и редкое.",декор neutral
Z#6,id_0,Possibly the Most Romantic Restaurant in the City,Restaurant positive,"Возможно, самый романтичный ресторан в городе",Ресторан positive
445960,id_1,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,restaurant positive,Из ресторана открывается вид на красивые зеленые лужайки на реку Гудзон и Статую Свободы.,ресторан positive
713152,id_0,"Excellent dumplings served amid clean, chic decor.",dumplings positive <sep> decor positive,Превосходные пельмени подаются в чистом шикарном интерьере.,пельмени positive <sep> декор positive
