review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
19467,id_9,"Официантка попалась хорошая: внимательная, без оценивающих взглядов, и ждать часами её не приходилось.",Официантка positive,"La camarera se topó con una buena: atenta, sin apretar miradas, y no tuvo que esperar horas.",Camarera positive
35325,id_1,Хороший ценник на блюда.,блюда positive,Buen precio para las comidas.,platos positive
18430,id_4,"Минусы: показалось, что слишком громко играла музыка; отсутствие подсветки над столом(хотя над некоторыми другими свет все же был), из-за чего пришлось подсвечивать меню телефоном и наверное главный минус для меня-это то, что в таком большом заведении не оказалось место для гардероба, вследствие чего наши куртки постоянно падали на пол с дивана.",музыка negative <sep> подсветки над столом negative <sep> заведении negative <sep> гардероба negative,Contras: parecía que la música estaba sonando demasiado fuerte; ,música negative <sep> luces sobre la mesa negative <sep> institución negative <sep> guardarropa negative
36017,id_1,"При входе нас встретил элегантный мужчина, который принял верхнюю одежду и проводил в зал.",мужчина positive,En la entrada fuimos recibidos por un hombre elegante que se puso su ropa de abrigo y nos acompañó al pasillo.,Hombre positive
28612,id_0,Ресторан замечательный!,Ресторан positive,¡El restaurante es maravilloso!,Un restaurante positive
10625,id_12,"Вначале повар сказал, что они могут предложить лишь майонез, что соус готовится утром одинаковый для всех.",повар negative <sep> майонез negative <sep> соус negative,"Al principio, el chef dijo que solo pueden ofrecer mayonesa, que la salsa se prepara por la mañana igual para todos.",cocinera negative <sep> mayonesa negative <sep> salsa negative
14568,id_5,Американо ее также не разочаровал!,Американо positive,¡Americano tampoco la defraudó!,Americano positive
31140,id_4,"Приветливые официанты, вкусная еда и красивый интерьер.",официанты positive <sep> еда positive <sep> интерьер positive,"Camareros amables, comida deliciosa y un hermoso interior.",camareros positive <sep> comida positive <sep> interior positive
11825,id_11,Фоновая музыка разговорам не мешала.,музыка neutral,La música de fondo no interfirió con las conversaciones.,música neutral
34956,id_4,"Ролл вообще был замечательным, сравнение с ним не выдержали бы блюда из традиционных Питерских сетевых заведений японской кухни))",Ролл positive,"El rollo fue en general maravilloso, la comparación con él no podía soportar los platos de la red tradicional de establecimientos de cocina japonesa de San Petersburgo))",Rollo positive
29350,id_2,"Слегка не уютно, от большого пространства и не много прохладно(зимой), но летом - это супер виды из окна!!! 3.",большого пространства negative <sep> виды из окна positive,"Ligeramente incómodo, desde un espacio grande y no mucho fresco (en invierno), pero en verano, ¡estas son súper vistas desde la ventana! ",gran espacio negative <sep> vistas desde la ventana positive
33720,id_5,"Ждали минут 10 и только он пришел, как к нам вышла хостесс и вежливо предложила забронированный столик, объяснив, что мы можем там посидеть пока не появятся ""хозяева""(к нашей радости, они так и не объявились).",хостесс positive,"Esperamos unos 10 minutos y tan pronto como llegó, una anfitriona se acercó a nosotros y cortésmente nos ofreció una mesa reservada, explicando que podíamos sentarnos allí hasta que aparecieran los ""dueños"" (para nuestro deleite, nunca aparecieron).",anfitriona positive
34889,id_6,"Разнообразие блюд, официанты компетентные, назовут ингредиенты, посоветуют что- то в соответствии с вашими предпочтениями в еде.",блюд positive <sep> официанты positive,"Una variedad de platos, los camareros son competentes, nombrarán los ingredientes, aconsejarán algo de acuerdo con sus preferencias alimentarias.",platos positive <sep> camareros positive
16568,id_6,"Токио, мы с вами! p.s. там всегда многолюдно, мне кажется, это показатель того, что ресторан пользуется неплох. столько людей не могут ошибаться",Токио positive <sep> ресторан positive,"Tokio, ¡estamos contigo! ",Tokio positive <sep> un restaurante positive
32771,id_26,"Кухня - 10, Интерьер - 10, Сервис - 10.",Кухня positive <sep> Интерьер positive <sep> Сервис positive,"Cocina - 10, Interior - 10, Servicio - 10.",Cocina positive <sep> Interior positive <sep> Servicio positive
11116,id_8,"Девушки ходят с лицами, будто посетители им что-то задолжали.",Девушки negative,Las chicas caminan con caras como si los visitantes les debieran algo.,Chicas negative
