review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
507844,id_0,This place would be so much better served by being run by a group that actually understands customer service.,customer service negative,Este lugar estaría mucho mejor atendido si estuviera dirigido por un grupo que realmente entienda el servicio al cliente.,Servicio al Cliente negative
1131595,id_0,This place is incredibly tiny.,place negative,Este lugar es increíblemente pequeño.,lugar negative
1395421,id_0,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,place positive,¡Mi novia y yo nos topamos con este lugar animado la otra noche y lo pasamos muy bien!,lugar positive
1748839,id_7,"For the people who want great food plus great service, Roxy is a place to AVOID!",food negative <sep> service negative,"Para las personas que desean una excelente comida y un excelente servicio, ¡Roxy es un lugar para EVITAR!",comida negative <sep> Servicio negative
611117,id_0,Best Reuben sandwich ever!,Reuben sandwich positive,¡El mejor sándwich Reuben de todos los tiempos!,Sándwich rubén positive
FF#10,id_3,The design of the space is good.,space positive,El diseño del espacio es bueno.,espacio positive
1398844,id_2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",tables negative <sep> menu neutral <sep> wine list negative,"Las mesas están demasiado cerca, el menú es típico de cualquier restaurante italiano y la lista de vinos es simplemente cara.",mesas negative <sep> menú neutral <sep> carta de vinos negative
717570,id_2,The food was delicious but do not come here on a empty stomach.,food positive <sep> food negative,La comida era deliciosa pero no vengas aquí con el estómago vacío.,comida positive <sep> comida negative
682391,id_3,Best Taiwanese food in NY!,Taiwanese food positive,¡La mejor comida taiwanesa en Nueva York!,Comida taiwanesa positive
511290,id_2,You must try the shrimp appetizers.,shrimp appetizers positive,Debes probar los aperitivos de camarones.,aperitivos de camarones positive
404464,id_0,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",people positive <sep> food negative <sep> Thalia positive,"Thalia es un hermoso restaurante con gente guapa que te sirve, pero la comida no coincide del todo.",gente positive <sep> comida negative <sep> Thalía positive
CLF#5,id_5,We were drawn into the belly dancing show that captivated the crowd.,belly dancing show positive,Nos atrajo el espectáculo de danza del vientre que cautivó a la multitud.,espectáculo de danza del vientre positive
496132,id_0,This is the kind of place you'd like to take all your friends to and still keep a secret.,place positive,Este es el tipo de lugar al que le gustaría llevar a todos sus amigos y aun así mantener un secreto.,lugar positive
505535,id_1,"the pad se ew chicken was delicious, however the pad thai was far too oily.",pad se ew chicken positive <sep> pad thai negative,"el pollo pad se ew estaba delicioso, sin embargo, el pad thai era demasiado aceitoso.",pad se ew pollo positive <sep> pad thai negative
1728733,id_6,I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,restaurant positive,Agradecí a mi amigo que me recomendó este restaurante y sin duda lo recomendaré a otros.,restaurante positive
541532,id_2,"Food was very good, but not what I would consider out of this world.",Food neutral,"La comida era muy buena, pero no lo que yo consideraría fuera de este mundo.",Comida neutral
CLF#3,id_22,My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.,chicken negative,Mi pollo no era comestible porque había tantos grumos grasos que tenía que escupir en mi servilleta.,pollo negative
958809,id_2,We could have made a meal of the yummy dumplings from the dumpling menu.,dumplings positive,Podríamos haber hecho una comida con las deliciosas albóndigas del menú de albóndigas.,bolas de masa hervida positive
455623,id_0,Love Pizza 33..,Pizza 33 positive,Love Pizza 33 ..,Pizza 33 positive
1448587,id_4,Problem is nothing at Prune is particularly memorable.,Prune negative,El problema es que nada en Prune es particularmente memorable.,Ciruela pasa negative
740923,id_1,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",fish negative <sep> staff negative <sep> sushi chef negative,"Si no le importa el pescado cortado en rodajas de baja calidad, el personal antipático y un chef de sushi que parece miserable, este es su lugar.",pez negative <sep> personal negative <sep> chef de sushi negative
1663111,id_2,"Excellent atmosphere, delicious dishes good and friendly service.",atmosphere positive <sep> dishes positive <sep> service positive,"Excelente ambiente, deliciosos platos buenos y trato amable.",atmósfera positive <sep> platos positive <sep> Servicio positive
1655521,id_3,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff positive,"Los camareros son muy amables, te hacen sentir como si estuvieras comiendo en una pequeña ciudad europea agradable.",camareros positive
620892,id_5,"Service, however, was excellent...and I liked the setting/atmosphere a lot.",Service positive <sep> setting/atmosphere positive,"El servicio, sin embargo, fue excelente ... y me gustó mucho el entorno / ambiente.",Servicio positive <sep> entorno / atmósfera positive
1748839,id_0,The food was mediocre at best but it was the horrible service that made me vow never to go back.,food negative <sep> service negative,"La comida era mediocre en el mejor de los casos, pero fue el horrible servicio lo que me hizo jurar que nunca volvería.",comida negative <sep> Servicio negative
1655504,id_5,"Be sure to try the seasonal, and always delicious, specials.",specials positive,Asegúrese de probar los especiales de temporada y siempre deliciosos.,especiales positive
957145,id_1,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,service positive <sep> staff positive,He estado viniendo aquí durante años y solo tengo cosas buenas que decir sobre el servicio y el excelente personal de La Lanterna.,Servicio positive <sep> personal positive
1496205,id_1,The location and ambience is Ok but the food is what makes up for it.,location neutral <sep> ambience neutral <sep> food positive,"La ubicación y el ambiente están bien, pero la comida es lo que lo compensa.",localización neutral <sep> ambiente neutral <sep> comida positive
430342,id_0,delicious simple food in nice outdoor atmosphere.,food positive <sep> outdoor atmosphere positive,deliciosa comida sencilla en un agradable ambiente al aire libre.,comida positive <sep> ambiente al aire libre positive
1264954,id_2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",chicken pot pie positive <sep> cheeseburger positive <sep> service positive,"El pastel de pollo es excelente, la hamburguesa con queso enorme y deliciosa, y el profesional de servicio es cálido.",pastel de pollo positive <sep> hamburguesa con queso positive <sep> Servicio positive
1074868,id_4,The food was well prepared and the service impecable.,food positive <sep> service positive,La comida estaba bien preparada y el servicio impecable.,comida positive <sep> Servicio positive
1167434,id_3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu negative,"pero cuando miramos el menú, no había muchas opciones, la mayoría eran bolas de masa en la sección de aperitivos.",menú negative
1387314,id_1,This is my first time writing a review for a restaurant because the food and service was excellent.,food positive <sep> service positive,Esta es la primera vez que escribo una reseña para un restaurante porque la comida y el servicio fueron excelentes.,comida positive <sep> Servicio positive
RL#7,id_1,my favorite place lol,place positive,mi lugar favorito jajaja,lugar positive
717570,id_4,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna positive <sep> chocolate bread pudding positive,Debe tener la lasaña de carne de cangrejo que está fuera de este mundo y el budín de pan de chocolate de postre.,lasaña de cangrejo positive <sep> pudín de pan de chocolate positive
1280179,id_3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food positive <sep> raw vegatables in side orders negative,"La comida suele ser muy buena, aunque de vez en cuando me preguntaba sobre la cantidad fresca de verduras crudas en las guarniciones.",Comida positive <sep> verduras crudas en guarniciones negative
BzG#1,id_0,The Cypriot restaurant has a lot going for it.,Cypriot restaurant positive,El restaurante chipriota tiene mucho que ofrecer.,Restaurante chipriota positive
1448587,id_1,The menu is very limited - i think we counted 4 or 5 entrees.,menu negative,"El menú es muy limitado, creo que contamos 4 o 5 entrantes.",menú negative
530517,id_0,Lucky Strike is a great casual place to just grab a bite to eat.,Lucky Strike positive,Lucky Strike es un gran lugar informal para comer algo.,Golpe de suerte positive
1340075,id_5,The takeout is great too since they give high quality tupperware as well.,takeout positive,"La comida para llevar también es excelente, ya que también ofrecen tupperware de alta calidad.",sacar positive
1460715,id_0,Great pizza for lunch place.,pizza positive,Gran pizza para el almuerzo.,Pizza positive
CLF#3,id_12,The hostess was very pleasant.,hostess positive,La anfitriona fue muy agradable.,anfitriona positive
1147211,id_2,The waitress was very patient with us and the food is phenomenal!,waitress positive <sep> food positive,La camarera fue muy paciente con nosotros y la comida es fenomenal.,camarera positive <sep> comida positive
1726427,id_3,Definitely a great spot for a nice occasion or date.,spot positive,Definitivamente un gran lugar para una buena ocasión o cita.,lugar positive
FF#10,id_6,The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.,waiter negative,El camarero entregó nuestra comida mientras sostenía lo que parecía ser una bolsa de plástico con basura en una mano.,mesero negative
TM#4,id_0,"Indo Chinese food, pretty good...",Indo Chinese food positive,"Comida indochina, bastante buena ...",Comida indochina positive
Z#6,id_5,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",BBE $29 fixe prix menu positive,"Mi grupo tenía el menú de precio fijo de BBE $ 29, que fue una oferta tan maravillosa ya que también venía con un vuelo de sake.",Menú de precio fijo de $ 29 de BBE positive
1460715,id_4,Have the iced tea.,iced tea positive,Toma el té helado.,te helado positive
1145510,id_1,The pizza is yummy and I like the atmoshpere.,pizza positive <sep> atmoshpere positive,La pizza es deliciosa y me gusta el ambiente.,Pizza positive <sep> atmósfera positive
1189674,id_4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection positive <sep> Gigondas positive <sep> house champagne positive,"Gran selección de vinos, Gigondas vale la pena el precio, y el champán de la casa tiene una excelente relación calidad-precio.",selección de vinos positive <sep> Gigondas positive <sep> champán de la casa positive
746254,id_4,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food negative <sep> wait-staff negative <sep> service negative <sep> management negative,"Con tantos buenos restaurantes en el UWS, no necesito comida demasiado cara, camareros absurdamente arrogantes que no reconocen que trabajan en un restaurante glorificado, un servicio torpe y una administración que no le importa.",comida negative <sep> camareros negative <sep> Servicio negative <sep> administración negative
632121,id_2,"The food is amazing, rich pastas and fresh doughy pizza.",food positive <sep> pastas positive <sep> pizza positive,"La comida es increíble, pastas ricas y pizza pastosa fresca.",comida positive <sep> pastas positive <sep> Pizza positive
1123262,id_1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood positive <sep> wine list positive <sep> menu positive,"El marisco es increíble, hay una buena carta de vinos y el menú siempre cambiante siempre ofrece grandes sorpresas.",mariscos positive <sep> carta de vinos positive <sep> menú positive
1707201,id_2,The place was nice and calm.,place positive,El lugar era agradable y tranquilo.,lugar positive
1055910,id_3,Service- friendly and attentive.,Service positive,Servicio amable y atento.,Servicio positive
1451107,id_5,And really large portions.,portions positive,Y porciones realmente grandes.,porciones positive
