review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
1655521,id_0,Мне очень понравилось это место !!,место positive,26-31,I loved this place!!,place positive
490565,id_2,"Еда вкусная, особенно их идеально приготовленные мидии в остром томатном соусе и их скромный хрустящий картофель фри.",еда positive <sep> мидии в остром томатном соусе positive <sep> фри positive,0-3 <sep> 49-78 <sep> 113-116,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",food positive <sep> mussels in spicy tomato sauce positive <sep> fries positive
1706644,id_3,"Мои друзья остановились на блюдах из риса, но мы вернулись на следующий день, чтобы попробовать димсам, который был хорош ... не выдающимся, но хорошим.",димсам neutral,96-102,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",dim sum neutral
TFS#5,id_17,Однако Бизон был очень хорош.,Бизон positive,7-12,Bison was quite excellent however.,Bison positive
P#7,id_2,Атмосфера была отличной.,атмосфера positive,0-9,The atmosphere was great.,atmosphere positive
493013,id_2,Я ЛЮБЛЮ их тайский,Тайский positive,11-18,I LOVE their Thai,Thai positive
1404042,id_6,"Пропустите этот ресторан, это большое разочарование.",ресторан negative,16-24,"Skip this restaurant, it's a big disappointment.",restaurant negative
Z#6,id_3,"Если вы планируете приехать сюда, убедитесь, что ваше свидание - это тот, кто вам действительно нравится, так как вас проводят в частные кабинки, где не будет ни людей, ни еды (выберите те, что на первом этаже, со стеклянными потолками. ",частные кабинки positive,129-144,"If you’re planning to come here, make sure that your date is someone whom you really like since you’ll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have glass ceilings so you may see the stars in the sky!).",private booths positive <sep> glass ceilings positive
624715,id_1,Настоящая пакистанская еда.,Пакистанская еда positive,10-26,Authentic Pakistani food.,Pakistani food positive
FF#6,id_7,"Я попросил меню, и та же официантка посмотрела на меня, как на сумасшедшего.",официантка negative,25-35,I asked for a menu and the same waitress looked at my like I was insane.,waitress negative
1655504,id_2,"Большой выбор брускетты, панини, трамеццини предотвращает застаивание вкуса.",брускетты positive,14-23,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas positive <sep> paninis positive <sep> tramezzinis positive
BFC#4,id_1,Еда здесь была в лучшем случае посредственной.,еда negative,0-3,The food here was mediocre at best.,food negative
1719567,id_2,"На закуску у нас были гребешки, они были восхитительны, а соус был замечательным.",гребешки positive <sep> соус positive,22-30 <sep> 58-62,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,scallops positive <sep> sauce positive
1154550,id_1,"Место маленькое и тесное, но еда фантастическая.",место negative <sep> еда positive,0-5 <sep> 29-32,The place is small and cramped but the food is fantastic.,place negative <sep> food positive
1308557,id_0,Обслуживание было единственным хорошим в этом ресторане.,ресторан negative,46-54,The service was the only thing good about this restaurant.,service positive <sep> restaurant negative
1500453,id_3,"Будь то суфле из белых пармезан или баранина, глазированная бальзамическим уксусом, вы наверняка перенесетесь в Северную Италию с одного укуса.","баранина, глазированная бальзамическим уксусом positive",36-82,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle positive <sep> lamb glazed with balsamic vinegar positive
TFS#2,id_0,Ресторан Four Seasons - это отличный опыт.,Ресторан Four Seasons positive,0-21,The Four Seasons restaurant is a great experience.,The Four Seasons restaurant positive
1730127,id_0,Вы не ошибетесь с этим местом.,место positive,23-28,You cannot go wrong with this place.,place positive
1167434,id_1,сначала мы долго искали это место.,место negative,28-33,first it took us a long time to find the place.,place negative
Y#4,id_3,Динамит из морепродуктов тоже потусторонний.,Динамит из морепродуктов positive,0-24,The Seafood Dynamite is also otherworldly.,Seafood Dynamite positive
680390,id_1,Еда как никогда хороша.,еда positive,0-3,The food's as good as ever.,food positive
571962,id_2,Хороший напиток.,напиток positive,8-15,Good drink.,drink positive
TFS#10,id_7,"Когда мы спросили о портах, официантка перечислила несколько, но не знала вариантов вкуса или стоимости.",официантка negative,28-38,When we inquired about ports - the waitress listed off several but did not know taste variations or cost.,waitress negative
