review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
1907,2571,"Я получаю массу комплиментов по поводу его размера, и, как человек, который регулярно ездит на автобусе, я могу засвидетельствовать тот факт, что это компьютер идеального размера, если вы ограничены шириной своего тела для вычислительной комнаты.",размер positive <sep> размер positive,43-49 <sep> 43-49,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size positive <sep> size positive
35,2202,Соединить его с iPhone - чистое удовольствие - разговоры о безболезненной синхронизации - раньше у меня уходила вечность - теперь это совсем несложно.,синхронизации positive,74-87,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing positive
774,523,"Думаю, единственными хорошими вещами, которые из этого вышли, были динамики и сабвуфер.",динамики positive <sep> сабвуфер positive,67-75 <sep> 78-86,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers positive <sep> subwoofer positive
1030,2319,В ноутбуках с Windows беспроводная мышь абсолютно необходима.,беспроводная мышь neutral,22-39,With Windows laptops a wireless mouse is an absolute must.,wireless mouse neutral
438,2435,"Я был разочарован, когда понял, что клавиатура на этой модели не горит.",клавиатура negative,36-46,I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard negative
2574,62,"Им следовало добавить больше памяти на свои компьютеры, если бы они знали, что Vista будет работать медленно.",Vista negative,79-84,They should have included more memory on their computers if they knew Vista would run slowly.,memory negative <sep> Vista negative
1727,1028,Или курсор появится в другом месте.,курсор negative,4-10,Or the cursor would show up some place else.,cursor negative
953,2261,"Приложения Apple (например, iPhoto) забавны, просты и действительно классны в использовании (в отличие от конкурентов)!",Приложения Apple positive <sep> iPhoto positive,0-16 <sep> 28-34,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications positive <sep> iPhoto positive
661,2077,Экран показывает отличные цвета.,экран positive <sep> цвета positive,0-5 <sep> 26-31,The screen shows great colors.,screen positive <sep> colors positive
2032,639,-Я предлагаю просто поменять жесткие диски местами.,жесткие диски neutral,29-42,-I propose that I can just swap the hard drives.,hard drives neutral
2952,153,"Экран огромный, цветной, но без светодиодной подсветки.",экран positive,0-5,"The screen is huge and coloful, but no LED backlighting.",screen positive
1225,1706,Моей основной причиной конвертации была программа imovie.,программа imovie positive,40-56,My main reason to convert was the imovie program.,imovie program positive
1121,1493,"""> iPhoto, наверное, лучшая программа, с которой я когда-либо работал: простая и удобная.",iPhoto positive,3-9,""">  iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto positive
477,379,"Я загрузил Windows 7 через Bootcamp, и он работает безупречно!",Windows 7 positive,11-20,I loaded windows 7 via Bootcamp and it works flawlessly!,windows 7 positive <sep> Bootcamp positive
647,756,ПК никогда не работал сразу после исправления BIOS.,BIOS negative,46-50,PC never worked right even after BIOS fixed.,BIOS negative
1705,2588,"Он совместим с Office, но функции и его функционирование снова являются новыми, так что вы можете сэкономить деньги и просто изучить предустановленные программы для Mac.",функционирование neutral <sep> программы neutral,40-56 <sep> 151-160,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",features neutral <sep> functioning neutral <sep> programs neutral <sep> Office positive
312,2632,"Я думал, что изучить Mac OS будет сложно, но это легко понять, если вы знакомы с ПК.",Mac OS positive,21-27,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS positive
247,2938,"Хотелось бы, чтобы громкость была громче, а мышь не сломалась всего через месяц.",мышь negative,44-48,I wish the volume could be louder and the mouse didnt break after only a month.,volume negative <sep> mouse negative
1846,2653,"Pro - отличный продукт, я бы хотел, чтобы 13-дюймовые модели поставлялись с процессорами Intel i и имели более удобные края (края болят мои запястья).",края negative,119-123,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors negative <sep> edge negative <sep> edges negative
618,2290,"Мне нравится док, где я могу просто перетащить файл поверх конкретной программы, и программа просто откроет этот файл.",док positive <sep> программа neutral <sep> программа positive,13-16 <sep> 83-92 <sep> 83-92,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock positive <sep> program neutral <sep> program positive
2922,2479,"Это гораздо более оптимизированная система для добавления программ, использования Интернета и других вещей, которые каждый делает на компьютере.",система positive,35-42,"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",programs neutral <sep> system positive <sep> using the internet neutral
1518,1909,"Они заменили мой жесткий диск, а также материнскую плату.",жесткий диск neutral,17-29,  They replaced my hard drive as well as my mother board.,hard drive neutral <sep> mother board neutral
2902,1255,"Я должен был это проверить, прежде чем устанавливать свои приложения.",Приложения neutral,58-68,I should have checked this before I installed my applications.,applications neutral
2508,2995,"Колесо, увеличивающее и уменьшающее громкость, не работает в реальном времени.",колесо negative,0-6,The wheel that turns the volume up and down doesn't work in real time.,wheel negative
3027,1284,"Таким образом, когда вы несете его под наклоном, экран будет «опрокидываться» или «скользить» вниз, если вы понимаете, о чем я.",экран negative,49-54,"Thus, when you carry it at a slanted angle, the screen will ""topple"" or ""slide"" down, if you understand what I mean.",screen negative
905,1372,"У нас было множество проблем с Vista, например, Adobe Flash player просто закрывается и его нужно удалить, а затем переустановить, Internet Explore просто закрывается, и вы теряете все, над чем вы работали, а также то же обновление Windows появилось на этом компьютере с тех пор, как мы ",Vista negative <sep> Adobe Flash player negative,31-36 <sep> 48-66,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista negative <sep> Adobe Flash player negative <sep> Internet Explore negative <sep> Windows update negative <sep> update negative
1908,1435,"На каждый сайт у меня уходит примерно 3 попытки, а после закрытия браузера и его повторного открытия он действительно работает.",браузер neutral,66-73,"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",browser neutral
174,2864,"Мне нравится WIndows 7, которая значительно улучшила Vista.",Windows 7 positive <sep> Vista negative,13-22 <sep> 53-58,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7 positive <sep> Vista negative
1767,2751,Хороший монитор и хорошо зарекомендовал себя.,монитор positive,8-15,Good monitor and performed well.,monitor positive <sep> performed positive
1690,2211,Графика на этом компьютере также великолепна - очень четкая и яркая.,графика positive,0-7,The graphics on this computer are also stellar - very clear and vivid.,graphics positive
1351,984,Это просто продолжает заменять жесткий диск!,жесткий диск negative,31-43,This just keeps having it's hard drive replaced!,hard drive negative
598,2706,"Такие функции, как шрифт, очень похожи на блоки и олдскульные.",шрифт negative <sep> Функции negative,19-24 <sep> 6-13,Features like the font are very block-like and old school.,font negative <sep> Features negative
2585,456,Аккуратный и организованный список значков - долгожданное изменение от загроможденных и сбивающих с толку значков на рабочем столе.,список значков positive,28-42,The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,icon list positive <sep> desktop icons negative
