review_id,sentences_ids,sentences_texts,sentences_opinions
Review-g188636-d4080718_2,id_9,Bediening SUPER vriendelijk.,bediening positive
Review-g2369819-d4736237_2,id_2,Gewoon onbeleefde bediening.,bediening negative
Review-g1006565-d2066794_1,id_1,Lange wachttijd.,wachttijd negative
Review-g1549789-d1745655_3,id_5,De zaak is mooi maar koel omdat er geen volk te vertoeven was: het eten gewoon SCHANDALIG!!!!,eten negative <sep> zaak neutral
Review-g188666-d1179195_2,id_6,Terras is best aangenaam.,terras positive
Review-g188671-d1960672_3,id_4,De pizza en de pasta zijn lekker zonder meer.,pasta neutral <sep> pizza neutral
Review-g1120021-d4097420_1,id_5,Zeer vriendelijke en vlotte bediening.,bediening positive
Review-g2369819-d4170174_4,id_11,Dit restaurant is zeker niet de top maar jong talent verdient en ruggesteuntje.,restaurant neutral
Review-g188671-d1371876_2,id_1,Zowel de kaart als de suggesties brengen je op een hoogte waar elke fijnproever van droomt.,suggesties positive <sep> kaart positive
Review-g641826-d741899_1,id_1,"De chef tovert de smaken op je bord, terwijl Tine je met de glimlach bedient.",tine positive <sep> chef positive
Review-g188636-d4170392_2,id_7,"Zoveel verschillende keuze, en de smaken zitten goed.",smaken positive <sep> keuze positive
Review-g188674-d3426674_4,id_2,We werden goed ontvangen door de uitbaatster die duidelijk beter omringd wordt dan voorheen.,uitbaatster positive
Review-g801350-d5504291_1,id_5,Het steppegras en de saus was lekker.,steppegras positive <sep> saus positive
Review-g188666-d3603065_2,id_3,We kiezen zelf een plaatsje en na 5 min. komt de ober ons vriendelijk vertellen dat de keuken al gesloten is.,ober neutral
Review-g188672-d2722090_3,id_4,Voorgerechten: 'Licht gebakken tonijn' was doorbakken.,licht gebakken tonijn negative
Review-g188666-d1011768_3,id_5,Voor ons nooit meer naar dit omgebouwd café tot zogezegd (veel te duur) restaurant.,restaurant negative
Review-g188672-d2722090_1,id_6,Nadat wij de patroon van ons ongenoegen hadden op de hoogte gebracht heeft hij ons arrogant te woord gestaan en ons gewezen dat dit de normale porties zijn die hij zijn klanten voorschotelt.,patroon negative
Review-g641825-d4674814_3,id_1,Mooie zaak en lekker eten,eten positive <sep> zaak positive
Review-g188636-d5929173_2,id_22,Dit gerecht is het betere werk.,gerecht positive
Review-g188672-d3165028_3,id_4,De couscous was daarnaast ook zeer goed bereid.,couscous positive
Review-g188669-d3631466_4,id_5,"Aangezien het een leffe cafe is verwachtte ik een uitgebreid assortiment aan bieren, maar dit was niet het geval.",bieren negative
Review-g230021-d742004_2,id_5,-vriendelijke ontvangst en aperitief aan de bar (toen was nog maar 1/3 van de gasten aanwezig),ontvangst positive
Review-g188674-d742064_2,id_6,We zaten buiten op het terras wat ok was (wel geen tafeldoekjes hoewel we gereserveerd hadden).,terras neutral
Review-g188636-d4170392_4,id_2,Warme gerechten komen uit magnetron vooral de spiezen en spareribs waren onsmakelijk.,spareribs negative <sep> spiezen negative <sep> warme gerechten negative
Review-g188666-d1011768_2,id_11,"Een amuse was mss niet slecht geweest (als toevoeging aan de 5 flinters rauwe ham), maar soit.",ham negative
Review-g1081485-d4399506_3,id_1,Prachtige wijnen en heel gezellig ambiente.,ambiente positive <sep> wijnen positive
Review-g941689-d1020348_3,id_1,"Wij waren gelogeerd in hotel Van Eyck, markt oversteken en we waren in een super gezellig restaurantje.",restaurantje positive
Review-g641825-d4674814_2,id_16,"Super vriendelijke vrouw achter de balie waar we hele gesprekken mee hebben gevoerd, open en eerlijk!",vrouw positive
Review-g188636-d5929173_4,id_4,De gastheer en zijn personeel waren zeer voorkomend en vriendelijk.,gastheer positive <sep> personeel positive
Review-g188672-d3852991_2,id_1,"zijn er gaan eten op zondagavond 02 november met bon van groupon, hadden een brede keuze uit menu's, kregen een mooie tafel aan het venster met kaarslicht, goede en snelle bediening.",bediening positive <sep> menu's positive <sep> tafel positive
Review-g188671-d1164103_2,id_7,"Bediening was chagrijnig, er kon geen lachje vanaf.",bediening negative
