review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
152,3027,Enabling the battery timer is useless.,battery timer negative,Включение таймера батареи бесполезно.,аккумулятор таймер negative
1907,2571,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size positive <sep> size positive,"Я получаю массу комплиментов по поводу его размера, и, как человек, который регулярно ездит на автобусе, я могу засвидетельствовать тот факт, что это компьютер идеального размера, если вы ограничены шириной своего тела для вычислительной комнаты.",размер positive <sep> размер positive
35,2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing positive,Соединить его с iPhone - чистое удовольствие - разговоры о безболезненной синхронизации - раньше у меня уходила вечность - теперь это совсем несложно.,синхронизации positive
774,523,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers positive <sep> subwoofer positive,"Думаю, единственными хорошими вещами, которые из этого вышли, были динамики и сабвуфер.",динамики positive <sep> сабвуфер positive
1030,2319,With Windows laptops a wireless mouse is an absolute must.,wireless mouse neutral,В ноутбуках с Windows беспроводная мышь абсолютно необходима.,беспроводная мышь neutral
488,146,I hate the display screen and I have done everything I could do the change it.,display screen negative,"Я ненавижу экран дисплея и сделал все, что мог, чтобы изменить его.",экран монитора negative
438,2435,I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard negative,"Я был разочарован, когда понял, что клавиатура на этой модели не горит.",клавиатура negative
1970,1481,It is extremely portable and easily connects to WIFI at the library and elsewhere.,connects to WIFI positive,Он чрезвычайно портативен и легко подключается к Wi-Fi в библиотеке и в других местах.,подключается к WIFI positive
688,2797,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd negative,"Да, и если это не так уж плохо, в комплект поставки не входит компакт-диск для восстановления, поэтому вы можете сделать его, если знаете, как это сделать, или купить его, если вы его купите, его стоимость составляет 25 долларов за два компакт-диска.",восстановление cd negative
2574,62,They should have included more memory on their computers if they knew Vista would run slowly.,memory negative <sep> Vista negative,"Им следовало добавить больше памяти на свои компьютеры, если бы они знали, что Vista будет работать медленно.",объем памяти negative <sep> Vista negative
1727,1028,Or the cursor would show up some place else.,cursor negative,Или курсор появится в другом месте.,курсор negative
140,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use positive <sep> service positive <sep> phone assistance positive <sep> genius bar positive,Его простота использования и лучший сервис от Apple - будь то телефонная помощь или опровержение гениальной планки - превзойти невозможно.,использовать positive <sep> услуга positive <sep> помощь по телефону positive <sep> гениальный бар positive
2948,845,"Long story, but after many calls to various  offices, I was told that no one can override the depot and that managers  don't take phone calls or e/mails.",depot neutral,"Долгая история, но после множества звонков в различные офисы мне сказали, что никто не может заблокировать склад и что менеджеры не принимают телефонные звонки или электронную почту.",депо neutral
2808,2783,Was not happy with one of the programs on it.,one of the programs negative,Не был доволен одной из программ на нем.,одна из программ negative
1068,2902,"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access positive,"Я также обнаружил, что получить доступ к беспроводному Интернету очень легко;",беспроводной доступ в Интернет positive
1704,2677,"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",software options negative <sep> applications negative,"Как и любой другой ноутбук, который не был приобретен с дополнительным программным обеспечением, в нем есть много приложений, которые я считаю бесполезными.",опции программного обеспечения negative <sep> Приложения negative
953,2261,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications positive <sep> iPhoto positive,"Приложения Apple (например, iPhoto) забавны, просты и действительно классны в использовании (в отличие от конкурентов)!",Приложения Apple positive <sep> iPhoto positive
661,2077,The screen shows great colors.,screen positive <sep> colors positive,Экран показывает отличные цвета.,экран positive <sep> цвета positive
2146,290,"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price neutral,"Я знаю, что есть гораздо лучшие ноутбуки по той же цене, и зачем тратить деньги на дерьмо, когда вы можете пойти и купить себе совершенно приличный ноутбук, который не сосет все обезьяньи яйца.",цена neutral
1943,2188,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life positive,"Я бы порекомендовал этот компьютер всем, кто ищет идеальный ноутбук, а время автономной работы просто потрясающее.",срок службы батареи positive
2032,639,-I propose that I can just swap the hard drives.,hard drives neutral,-Я предлагаю просто поменять жесткие диски местами.,жесткие диски neutral
2952,153,"The screen is huge and coloful, but no LED backlighting.",screen positive,"Экран огромный, цветной, но без светодиодной подсветки.",экран positive
