review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
12814,id_4,"Y lo que más me sorprendió y no me gustó fue que el menú incluía algunos ingredientes en el postre, ¡y no encontré algunos de los ingredientes en el plato real!",plato negative,149-154,"И что больше всего удивили и не понравилось, то что в меню в составе десерта было написаны одни ингридиенты, а реальном блюде часть инегридиентов я так и не нашел!",блюде negative
16137,id_1,"Bueno, en primer lugar, quisiera señalar una pequeña decepción que se apoderó de mí de inmediato: el interior.",interior negative,101-109,"Ну во-первых, хочется отметить одно маленькое разочарование, которое меня охватило сразу же: интерьер.",интерьер negative
36166,id_3,"Margarita encantadora, comida deliciosa y buena música !!!",Margarita positive <sep> comida positive <sep> música positive,0-9 <sep> 23-29 <sep> 48-54,"Прекрасная Маргарита, вкусная еда и отличная музыка!!!",Маргарита positive <sep> еда positive <sep> музыка positive
20417,id_15,"Tomaré un costillar de cordero, tendré una vez más.",Cordero positive,23-30,"Каре баранины буду, еще раз буду.",Каре баранины positive
27169,id_14,"También me gustaría señalar, como persona aficionada a la fotografía, que las fotografías en el contexto de este maravilloso interior medieval son simplemente fantásticas.",interior positive,125-133,"Отмечу также как человек, увлекающийся фотографией,что фотографии на фоне этого замечательного средневекового интерьера получаются просто фантастические!",интерьера positive
10825,id_0,"Visitamos este restaurante por primera vez el día de San Valentín, nos gustó mucho el videoclip de este restaurante y decidimos ir.",restaurante positive,15-26,"Побывали впервые в День всех влюбленных в этом ресторане,уж очень понравился видео ролик этого ресторана и мы решили сходить.",ресторана positive
33976,id_2,El interior del restaurante es muy interesante.,Interior positive,3-11,Интерьер ресторана очень интересный.,Интерьер positive
2073,id_4,"En primer lugar, no he visto un servicio tan desagradable en ningún otro lugar.",Servicio negative,32-40,Во-первых такого отвратительного обслуживания я не видела нигде.,обслуживания negative
24132,id_9,"Entonces, si desea pasar tiempo en un ambiente acogedor, acogedor y amigable y al mismo tiempo comer deliciosamente, entonces la cocina es exactamente lo que necesita;)",Cocina positive,129-135,"Так что если хотите провести время в уютной, располагающей, дружелюбной атмосфере и при этом вкусно поесть, то Кухня - именно то, что надо ;)",атмосфере positive <sep> Кухня positive
6668,id_12,"Las ensaladas eran abundantes y bastante sabrosas, pero de alguna manera no las recordaba.",Ensaladas neutral,4-13,"Салаты были сытные и довольно вкусные, но как-то не запомнились.",Салаты neutral
12131,id_1,"Interior, interior e interior de nuevo !!! ",Interior positive,0-8,"Интерьер, интерьер, и еще раз интерьер!!! общее цветовое решение и каждая деталь - просто восхитительны!!! особенно на контрасте с популярным сейчас минимализмом, Дача - самое домашне-уютное и при этом очень красивое место.",Интерьер positive <sep> цветовое решение positive <sep> Дача positive
3976,id_5,"Puede que el servicio no sea el mejor de la ciudad, pero los camareros hicieron lo necesario.",camareros neutral,61-70,"Обслуживание может и не самое лучьшее в городе, но официанты делали всё что нужно.",официанты neutral
35325,id_2,El interior y el servicio son densos: 9 puntos.,Interior positive <sep> Servicio positive,3-11 <sep> 17-25,Интерьер и сервис плотные - 9 баллов.,Интерьер positive <sep> сервис positive
12814,id_1,"La cocina estaba bien, incluso diría que todo estaba delicioso.",Cocina positive,3-9,"Кухня была нормальная, я бы даже сказал, что вкусно было все приготовлено.",Кухня positive
32721,id_5,- Amplia selección de platos y bastante variada.,elección de platos positive,10-28,- Большой выбор блюд и довольно разнообразный.,выбор блюд positive
15655,id_4,¡Suena buena música!,música positive,13-19,Играет приятная музыка!,музыка positive
10231,id_2,"La última vez que estuve con amigos, todos estaban contentos con el servicio y la comida.",Servicio positive <sep> comida positive,68-76 <sep> 82-88,"Последний раз была с друзьями,все остались довольны и обслуживанием и едой.",обслуживанием positive <sep> едой positive
21399,id_8,Un agradecimiento especial al camarero María.,al camarero positive,27-38,Отдельное спасибо официанту Марии.,официанту positive
27375,id_0,Visitamos este acogedor restaurante por primera vez hace dos meses.,restaurante positive,24-35,Первый раз посетили с друзьями этот уютный ресторанчик месяца два назад.,ресторанчик positive
12943,id_3,"El servicio es rápido, espere 1-2 minutos para la cerveza, picatostes un poco más, la cerveza es excelente. ",Servicio positive <sep> cerveza positive,3-11 <sep> 50-57,"Обслуживание оперативное, ждать 1-2 минуты пиво, гренки чуть дольше, пиво отличное!!! я в восторге!!!",Обслуживание positive <sep> пиво positive
33252,id_8,"Bien hecho, chicos, no es una lástima dejar una propina por un servicio así.",Servicio positive,63-71,"Молодцы, ребята, за такое обслуживание не жалко и чаевые оставлять.",обслуживание positive
11116,id_14,"En general, si quieres sentarte en un lugar tranquilo y silencioso, tomar una copa y charlar con amigos, Rosario está bien.",Rosario neutral,105-112,"В общем, если Вы хотите посидеть в спокойном тихом месте, выпить бокальчик и поболтать с друзьями, то Розарио вполне подойдет.",Розарио neutral
30148,id_9,Las sopas son deliciosas.,Sopa positive,4-8,Супчики вкусные.,Супчики positive
19817,id_9,Y los jugos recién exprimidos son muy buenos.,jugos recién exprimidos positive,6-29,И очень хороши свежевыжатые соки.,свежевыжатые соки positive
19817,id_19,"Este es el único lugar en San Petersburgo donde como tranquilamente sushi y rollos, a pesar de mi embarazo.",Sushi positive <sep> rollos positive,68-73 <sep> 76-82,"Это единственное место в Петербурге, где я спокойно ем суши и роллы, не смотря на беременность.",место positive <sep> суши positive <sep> роллы positive
12118,id_13,¡Y el acompañamiento musical es otra historia!,acompañamiento musical negative,6-28,А музыкальное сопровождение это вообще отдельная история!,музыкальное сопровождение negative
16151,id_6,Muchas mesas en el centro.,mesas negative,7-12,Много столов в центре.,столов negative
17475,id_8,¡Y la ensalada César también es deliciosa!,ensalada César positive,6-20,А еще салат цезарь-тоже вкусно!,салат цезарь positive
10663,id_1,Una actitud cordial desde el primer momento.,actitud positive,4-11,Прямо с порога радушное отношение.,отношение positive
24217,id_8,"Un amigo pidió sushi, dijo delicioso.",Sushi positive,15-20,"Подруга заказывала суши, сказала вкусные.",суши positive
27629,id_11,"En general, ya no iremos a esta institución.",institución negative,32-43,"В общем, в это заведение мы больше не пойдем.",заведение negative
14031,id_2,Ya en el primer encuentro con el restaurante (al hacer el pedido) me gustó todo.,restaurante positive,33-44,Уже при первой встрече с рестораном (при заказе) все понравилось.,рестораном positive
36512,id_9,"Queremos agradecer enormemente al personal por la actitud atenta hacia nosotros y nuestros invitados, así como por el salón de bodas y las mesas bellamente decoradas y decoradas.",personal positive <sep> mesas positive,34-42 <sep> 139-144,"Хотим сказать огромное спасибо персоналу за внимательное отношение к нам и нашим гостям, а так же за красиво декорированные и украшенные свадебный зал и столы!!!",персоналу positive <sep> свадебный зал positive <sep> столы positive
