review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
DBG#7,id_15,Mi esposa apenas había tocado ese desastre de plato.,plato negative,46-51,My wife had barely touched that mess of a dish.,dish negative
1632445,id_6,"El sándwich de langosta cuesta $ 24 y, aunque era bueno, no era suficiente para justificar ese precio.",sándwich de langosta positive <sep> sándwich de langosta negative,3-23 <sep> 3-23,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich positive <sep> lobster sandwich negative
TM#4,id_3,"Mi madre originalmente me presentó este lugar, pero incluso ella (siendo india) siente que la comida puede ser un poco picante y demasiado aceitosa.",comida negative,94-100,"My mom originally introduced me to this place, but even she (being Indian) feels the food can be somewhat over the top spicy and far too oily.",food negative
FF#10,id_11,Ojalá pudiera gustarme más este lugar y desearía que alguien volviera a capacitar al personal.,lugar negative <sep> personal negative,32-37 <sep> 85-93,"I wish I could like this place more, and I wish someone would retrain the staff.",place negative <sep> staff negative
1394712,id_3,No volveremos a este lugar para disfrutar de una buena comida.,comida negative,55-61,We won't go to this place again for a good meal.,meal negative
P#6,id_3,¡Recibí pelo en mi comida 2 veces de entonces!,comida negative,19-25,I got hair in my food 2 times of then !,food negative
1189674,id_6,"He recomendado el lugar a amigos, siempre obtiene buena respuesta.",lugar positive,18-23,"Have recommended the place to friends, always gets good response.",place positive
1189674,id_4,"Gran selección de vinos, Gigondas vale la pena el precio, y el champán de la casa tiene una excelente relación calidad-precio.",selección de vinos positive <sep> Gigondas positive <sep> champán de la casa positive,5-23 <sep> 25-33 <sep> 63-81,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection positive <sep> Gigondas positive <sep> house champagne positive
527109,id_0,"Volare vírgenes o asiduos semanales, todos reciben el mismo trato y no se puede pedir más que eso cuando el servicio es tan amigable.",Servicio positive,108-116,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",service positive
1632445,id_2,El sándwich de langosta es bueno y el espagueti con vieiras y camarones es genial.,sándwich de langosta positive,3-23,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich positive <sep> spaghetti with Scallops and Shrimp positive
1280166,id_2,"La comida también era muy buena, considerando que probamos la selección económica (aunque desearía que la panceta de cerdo que pedí estuviera asada un poco más, para que la grasa fuera más una experiencia que se derrite en la boca).",Comida positive,3-9,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food positive <sep> pork belly negative
430342,id_1,Amables y atentos camareros.,camareros positive,18-27,"Kind, attentive wait staff.",wait staff positive
