review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
es_cafe_kafka_48_JesusMOrdonezOrzaiz_2011-12-06,id_1,"Очень приятная атмосфера, очень внимательное обслуживание и очень хорошая еда.",еда positive,74-77,"El ambiente muy agradable, el servicio muy atento y la comida muy buena.",ambiente positive <sep> servicio positive <sep> comida positive
es_puerto-de-santa-maria-zaragoza_comment-1562,id_3,Большие и очень щедрые порции.,Порции positive,23-29,Raciones amplias y muy abundantes.,Raciones positive
es_barceloneta_11_AntonioSerranoPueyo_2015-01-15,id_2,Непревзойденная однородность.,Однородность positive,16-28,Homogeneidad imbatible.,Homogeneidad positive
es_cafe_casa_lletres_9_RicardoSantolariaPerez_2015-01-06,id_3,Порции были довольно скудными.,порции negative,0-6,Las raciones fueron bastante escasas.,raciones negative
es_balmes_rossello_100_AnnaWeiner_2011-12-27,id_3,Большие порции.,Порции positive,8-14,Raciones grandes.,Raciones positive
es_la-despensa_comment-1887,id_2,"Удивили цены, 3,5 евро за крокет.",крокет negative,26-32,"nos sorprendio los precios tan altos, 3,5€ una croqueta.",croqueta negative
es_barceloneta_101_Marc_2010-09-16,id_2,Очень свежие креветки.,креветки positive,13-21,Las gambas fresquísimas.,gambas positive
es_bal-donsera-zaragoza_comment-1413,id_10,"Спаржа, стручковая фасоль, крем из цветной капусты, брокколи - все это очень хорошо обработано.",спаржа positive <sep> Крем из цветной капусты positive <sep> брокколи positive,0-6 <sep> 27-50 <sep> 52-60,"Los espárragos, las judías verdes, la crema de coliflor, el broccoli,  todos muy bien tratados.",espárragos positive <sep> judías verdes positive <sep> crema de coliflor positive <sep> broccoli positive
es_bodega-de-chema-la-zaragoza_comment-4344,id_1,"Еда была отличной, а обслуживание непревзойденным.",еда positive,0-3,La comida fue excelente y el servicio inmejorable.,comida positive <sep> servicio positive
es_cafe_kafka_55_Hernandez_2011-08-26,id_1,"Хорошая атмосфера, очень хорошее обслуживание и очень хорошая еда.",еда positive,62-65,"Buen ambiente, muy buen servicio y muy buena comida.",ambiente positive <sep> servicio positive <sep> comida positive
es_bal-donsera-zaragoza_comment-2215,id_2,"С другой стороны, я рад согласиться с вами во вкусах, не настолько, чтобы мы оба покинули этот ресторан разочарованными, потому что я полагаю, что вы, как и я, хотели бы покинуть Bal d'Onsera очень счастливыми, рекомендую повсюду и без ощущения потраченного зря время и деньги, по крайней мере, я.",ресторан negative,95-103,"Por otro lado me alegro de coincidir con usted en los gustos, no tanto de que ambos saliéramos decepcionados de este restaurante, porque supongo que a usted, igual que a mi, nos hubiera gustado salir contentísimos del Bal d’Onsera, recomendarlo por doquier y no tener la sensación de haber perdido tiempo y dinero, al menos yo.",restaurante negative
es_salamanca_38_Iria_2012-08-29,id_0,Очень вкусная паэлья и очень внимательные официанты.,Паэлья positive <sep> Официанты positive,14-20 <sep> 42-51,Paella muy rica y camareros muy atentos.,Paella positive <sep> camareros positive
es_barceloneta_42_EsperanzaDiesteSantatala_2013-05-26,id_0,Отличное сырье и очень хорошая проработка.,сырье positive,9-14,Excelente materia prima y muy buena elaboración.,materia prima positive
es_barceloneta_28_EsperanzaDiesteSantatala_2013-09-27,id_0,Превосходное сырье и фантастическая обстановка на террасе с видом на Муэль-де-Эспанья.,сырье positive,13-18,Excelente materia prima y fantástico marco en la terraza con vistas al Muelle de España.,materia prima positive <sep> terraza positive
es_cullera_de_boix_93_Paola_2011-03-06,id_0,Отличные блюда из риса.,рис positive,18-21,Excelentes arroces.,arroces positive
es_cullera_de_boix_74_ElisabetBasPujol_2012-01-17,id_1,"Лечение очень хорошее, очень дружелюбное, рис изысканный и за полцены, рекомендую.",лечение positive <sep> рис positive,0-7 <sep> 42-45,"El trato muy bueno, muy amables, el arroz exquisito y a mitad de precio, lo recomiendo.",trato positive <sep> arroz positive
es_l_olive_86_Marian_2006-12-15,id_0,"Я завсегдатай ресторана, когда проходят корпоративные или семейные торжества.",ресторан positive,14-22,Soy asidua del restaurante cuando hay celebraciones de empresa o familiares.,restaurante positive
es_bodega-de-chema-la-zaragoza_comment-4202,id_0,"Нас было шесть человек на семейном празднике, мы были там впервые, мы заказали грибное меню, и оно нам очень понравилось, все очень хорошо приготовлено, в разумных количествах, изысканные сочетания вкусов, мы были очень довольны и хотим вернуться снова .",грибное меню positive,79-91,"Fuimos seis personas para una celebración familiar, era nuestra primera vez allí, pedimos el menú de las setas y nos gustó muchísimo, todo muy bien cocinado, cantidades razonables, unas combinaciones de sabores exquisitas, nos quedamos muy satisfechos y con ganas de volver otra vez.",menú de las setas positive
es_bal-donsera-zaragoza_comment-1413,id_13,"Хорошо сшитый хек, хотя и немного мягкий, уступил место тому, что было для меня сюрпризом дня, кусочку рибай, который был изысканным по вкусу и только что приготовленным, что заставило меня захотеть большего. для меня сорбет с преобладанием корицы и снова с винной пеной слишком последовательной.",хек neutral <sep> Рибай positive <sep> сорбет negative,14-17 <sep> 103-108 <sep> 218-224,"La merluza bien de punto, aunque un poco sosa, dio paso a lo que para mí fue la sorpresa del día, un trocito de chuletón exquisito de sabor y en su justo punto de cocción que me dejó con ganas de más.Los postres aprobado justito, el primero alrededor del vino tinto, con un sorbete para mí demasiado dominado por la canela y con una espuma de vino de nuevo demasiado consistente.",merluza neutral <sep> chuletón positive <sep> postres negative <sep> sorbete negative <sep> espuma de vino negative
es_maur_muntaner_18_GeraldPalomarGracia_2013-05-08,id_1,"хорошая атмосфера, еда, внимание и цена !!",еда positive <sep> внимание positive <sep> цена positive,19-22 <sep> 24-32 <sep> 35-39,"buen ambiente , comida , atención y precio !!",ambiente positive <sep> comida positive <sep> atención positive <sep> precio positive
es_cafe_kafka_39_VanessaAlcocer_2012-03-06,id_0,"Ресторан очень красивый, приятная атмосфера и исключительное убранство, а также всегда очень дружелюбное обслуживание.",ресторан positive,0-8,"El restaurante es muy bonito, el ambiente es agradable y la decoración excepcional así somo el servicio que fue muy amable en todo momento.",restaurante positive <sep> ambiente positive <sep> decoración positive <sep> servicio positive
es_salamanca_13_CarmenCapdevila_2015-01-02,id_2,"Ресторан оправдался тем, что 1 января всегда много работы.",ресторан negative,0-8,La excusa del restaurante ha sido que el dia 1 de enero siempre hay mucho trabajo.,restaurante negative
es_cafe-meccano-gastrobar-zaragoza_comment-4480,id_2,"Еда и обслуживание были хорошими, и стоит отметить, что представление начинается, когда мы заканчиваем ужин.",еда positive <sep> представление positive,0-3 <sep> 56-69,La comida y el servio bien y se agradece que la actuación comience cuando hemos terminado de cenar.,comida positive <sep> servio positive <sep> actuación positive
es_colette-zaragoza_comment-1145,id_5,"Я считаю, что вентиляция была неплохой, хотя я не знаю, что было бы, если бы было больше или больше заядлых курильщиков.",вентиляция positive,14-24,"Creo que la ventilación era bastante buena, aunque  no sé lo que ocuriría si hubiera mayor número de fumadores o más compulsivos.",ventilación positive
es_barceloneta_15_BrunoVergottini_2014-10-05,id_0,очень хорошая паэлья,Паэлья positive,14-20,muy buena paella,paella positive
es_asador-la-junquera-zaragoza_comment-4802,id_3,Официанты с небольшим опытом и мало подготовлены к заплаченной цене.,Официанты negative,0-9,Camareros con poca experiencia y poco preparados para el precio pagado.,Camareros negative
es_colette-zaragoza_comment-1142,id_21,"Хороший сайт, за которым стоит следить.",сайт positive,8-12,"Un buen sitio, a seguir.",sitio positive
es_cullera_de_boix_38_Anonimo_2013-05-31,id_2,Отличный хлеб.,хлеб positive,9-13,El pan excelente.,pan positive
es_cullera_de_boix_74_ElisabetBasPujol_2012-01-17,id_0,"Отличное меню, очень полное.",меню positive,9-13,"Un menú estupendo, muy completo.",menú positive
