Predicted idx,Gold idx
[],"[(0, 5)]"
[],"[(13, 17), (54, 61)]"
[],"[(0, 7)]"
[],"[(0, 4)]"
[],"[(0, 3), (5, 11), (13, 20)]"
"[(19, 24)]","[(17, 24)]"
[],"[(8, 13)]"
"[(50, 62)]","[(0, 5), (18, 22), (50, 60)]"
"[(26, 35)]","[(0, 4), (16, 24)]"
"[(3, 9)]","[(0, 1)]"
[],"[(0, 1), (19, 23)]"
"[(54, 64), (197, 201)]","[(0, 10), (54, 64), (161, 166), (178, 182)]"
[],"[(10, 20), (32, 42), (50, 57)]"
"[(7, 12)]","[(0, 5)]"
"[(8, 16)]","[(0, 6)]"
[],"[(0, 16)]"
[],"[(0, 5)]"
"[(0, 6)]","[(0, 26)]"
"[(6, 17)]","[(0, 4)]"
"[(15, 24), (26, 27)]","[(0, 13)]"
[],"[(6, 10)]"
"[(0, 4)]","[(6, 10)]"
[],"[(13, 19), (38, 42)]"
[],"[(6, 9)]"
"[(34, 41)]","[(8, 16)]"
"[(8, 18)]","[(8, 18), (20, 26)]"
[],"[(47, 51)]"
"[(0, 4)]","[(0, 4), (14, 18)]"
[],"[(10, 15)]"
[],"[(0, 8)]"
[],"[(0, 9)]"
"[(15, 18)]","[(0, 13)]"
[],"[(0, 7)]"
[],"[(0, 8)]"
[],"[(0, 8)]"
"[(53, 59)]","[(44, 51), (69, 77)]"
"[(31, 38), (62, 72)]","[(93, 110)]"
"[(0, 3)]","[(16, 21)]"
[],"[(0, 3)]"
[],"[(28, 37)]"
"[(0, 10), (12, 15), (55, 60)]","[(0, 10), (43, 48)]"
[],"[(13, 16)]"
[],"[(0, 6), (21, 24)]"
[],"[(0, 10)]"
"[(14, 21)]","[(8, 12)]"
[],"[(6, 11)]"
"[(17, 19)]","[(0, 7)]"
"[(0, 4), (33, 37)]","[(39, 44), (51, 58), (66, 74)]"
[],"[(0, 7)]"
[],"[(0, 4)]"
[],"[(0, 6)]"
"[(7, 15), (17, 21)]","[(0, 5), (17, 21)]"
"[(0, 4), (6, 9)]","[(37, 47)]"
[],"[(29, 36), (52, 59), (61, 68)]"
"[(8, 15)]","[(25, 29), (45, 48)]"
"[(0, 4)]","[(6, 25)]"
[],"[(44, 49), (61, 68)]"
[],"[(0, 7), (26, 31)]"
"[(4, 14), (52, 59), (67, 72), (93, 96), (105, 114), (116, 117)]","[(38, 45), (52, 59), (67, 72)]"
[],"[(31, 38), (46, 51)]"
[],"[(37, 43)]"
[],"[(0, 10)]"
[],"[(3, 8), (10, 17)]"
"[(10, 15), (45, 53)]","[(10, 15), (24, 31)]"
[],"[(7, 12)]"
"[(10, 13), (44, 48)]","[(0, 8), (15, 27)]"
[],"[(0, 7)]"
