review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
19467,id_9,"Официантка попалась хорошая: внимательная, без оценивающих взглядов, и ждать часами её не приходилось.",Официантка positive,"The waitress came across a good one: attentive, without appraising glances, and she did not have to wait for hours.",Waitress positive
35325,id_1,Хороший ценник на блюда.,блюда positive,Good price tag for meals.,dishes positive
18430,id_4,"Минусы: показалось, что слишком громко играла музыка; отсутствие подсветки над столом(хотя над некоторыми другими свет все же был), из-за чего пришлось подсвечивать меню телефоном и наверное главный минус для меня-это то, что в таком большом заведении не оказалось место для гардероба, вследствие чего наши куртки постоянно падали на пол с дивана.",музыка negative <sep> подсветки над столом negative <sep> заведении negative <sep> гардероба negative,Cons: it seemed that the music was playing too loud; ,music negative <sep> lights above the table negative <sep> institution negative <sep> wardrobe negative
36017,id_1,"При входе нас встретил элегантный мужчина, который принял верхнюю одежду и проводил в зал.",мужчина positive,At the entrance we were greeted by an elegant man who took on his outerwear and escorted us into the hall.,Man positive
28612,id_0,Ресторан замечательный!,Ресторан positive,The restaurant is wonderful!,A restaurant positive
10625,id_12,"Вначале повар сказал, что они могут предложить лишь майонез, что соус готовится утром одинаковый для всех.",повар negative <sep> майонез negative <sep> соус negative,"At the beginning, the chef said that they can only offer mayonnaise, that the sauce is prepared in the morning the same for everyone.",Cook negative <sep> mayonnaise negative <sep> sauce negative
14568,id_5,Американо ее также не разочаровал!,Американо positive,Americano did not disappoint her either!,Americano positive
31140,id_4,"Приветливые официанты, вкусная еда и красивый интерьер.",официанты positive <sep> еда positive <sep> интерьер positive,"Friendly waiters, delicious food and a beautiful interior.",waiters positive <sep> food positive <sep> interior positive
11825,id_11,Фоновая музыка разговорам не мешала.,музыка neutral,Background music did not interfere with conversations.,music neutral
34956,id_4,"Ролл вообще был замечательным, сравнение с ним не выдержали бы блюда из традиционных Питерских сетевых заведений японской кухни))",Ролл positive,"The roll was generally wonderful, the comparison with it could not stand the dishes from the traditional St. Petersburg network Japanese cuisine establishments))",Roll positive
29350,id_2,"Слегка не уютно, от большого пространства и не много прохладно(зимой), но летом - это супер виды из окна!!! 3.",большого пространства negative <sep> виды из окна positive,"Slightly uncomfortable, from a large space and not much cool (in winter), but in summer - these are super views from the window !!! ",large space negative <sep> views from the window positive
33720,id_5,"Ждали минут 10 и только он пришел, как к нам вышла хостесс и вежливо предложила забронированный столик, объяснив, что мы можем там посидеть пока не появятся ""хозяева""(к нашей радости, они так и не объявились).",хостесс positive,"We waited about 10 minutes and as soon as he came, a hostess came out to us and politely offered a booked table, explaining that we could sit there until the ""owners"" appear (to our delight, they never showed up).",hostess positive
34889,id_6,"Разнообразие блюд, официанты компетентные, назовут ингредиенты, посоветуют что- то в соответствии с вашими предпочтениями в еде.",блюд positive <sep> официанты positive,"A variety of dishes, the waiters are competent, they will name the ingredients, advise something in accordance with your food preferences.",dishes positive <sep> waiters positive
16568,id_6,"Токио, мы с вами! p.s. там всегда многолюдно, мне кажется, это показатель того, что ресторан пользуется неплох. столько людей не могут ошибаться",Токио positive <sep> ресторан positive,"Tokyo, we are with you! ",Tokyo positive <sep> a restaurant positive
32771,id_26,"Кухня - 10, Интерьер - 10, Сервис - 10.",Кухня positive <sep> Интерьер positive <sep> Сервис positive,"Kitchen - 10, Interior - 10, Service - 10.",Kitchen positive <sep> Interior positive <sep> Service positive
11116,id_8,"Девушки ходят с лицами, будто посетители им что-то задолжали.",Девушки negative,The girls walk around with faces as if the visitors owed them something.,Girls negative
11532,id_3,Ну про 100 р при въезде и плохую дорогу мы знаем...это терпимо.,дорогу negative,"Well, about 100 r at the entrance and a bad road, we know ... it's tolerable.",the road negative
17475,id_4,"Встретили нормально (никакой улыбки на лице администратора при этом не было) ,проводили к столу.",администратора neutral,"They were greeted normally (there was no smile on the face of the administrator), they were escorted to the table.",administrator neutral
16647,id_3,Кухня...это нечто.,Кухня positive,The kitchen ... is something.,Kitchen positive
10354,id_5,"Уже через неделю моя подруга вернулась в ""Чебурек"" со своими родными, где они отметили юбилей отца.","""Чебурек"" positive","A week later, my friend returned to ""Cheburek"" with her family, where they celebrated her father's birthday.","""Cheburek"" positive"
17999,id_8,"Большой ресторан, хорошее и главное довольно выгодное место и кухня очень приличная, но вот обслуживание оставляет желать лучшего....",ресторан positive <sep> место positive <sep> кухня positive <sep> обслуживание negative,"A large restaurant, a good and most importantly, a rather profitable place and the cuisine is very decent, but the service leaves much to be desired ....",a restaurant positive <sep> a place positive <sep> kitchen positive <sep> service negative
29321,id_3,Второй этаж просто рай какой-то=),Второй этаж positive,The second floor is just some kind of paradise =),Second floor positive
2073,id_9,Отдельная история - живая музыка.,живая музыка negative,Live music is a separate story.,live music negative
36166,id_4,"Живу в другом районе, но с радостью приезжаю именно сюда, да простят меня остальные мексиканские рестораны, за мексиканкой едой, атмосферой и отлично провести вечер!",мексиканкой едой positive <sep> атмосферой positive,"I live in another area, but I am happy to come here, may the rest of the Mexican restaurants forgive me, for Mexican food, atmosphere and have a great evening!",mexican food positive <sep> atmosphere positive
9837,id_4,"Интерьер приятный - правда, мне больше понравился первый зал - он более ресторанного типа, а многие любят сидеть во втором, напоминающем по интерьеру греческую таверну.",Интерьер positive <sep> первый зал positive <sep> интерьеру positive,"The interior is pleasant - however, I liked the first hall more - it is more of a restaurant type, and many like to sit in the second, which resembles a Greek tavern in its interior.",Interior positive <sep> first hall positive <sep> interior positive
12467,id_12,"Затем подали сорбет, тоже вкусненько)))",сорбет positive,"Then a sorbet was served, also delicious)))",sorbet positive
21716,id_3,Обслуживанием вполне довольны.,Обслуживанием positive,We are quite satisfied with the service.,Service positive
11027,id_14,"Готовят очень вкусно , особенно шашлыки и наполеон .(спасибо большое поварам )",шашлыки positive <sep> наполеон positive,"They cook very tasty, especially kebabs and napoleon. (Thanks a lot to the chefs)",kebabs positive <sep> napoleon positive
20861,id_3,"На больших экранах транслируется Fashion. приятный, спокойный интерьер для дружеских встреч.",интерьер positive,Fashion is broadcasted on large screens. ,interior positive
10625,id_9,"Что касается сервиса, то официантка в начале про нас забыла, пришлось окримнуть, чтоб сделать заказа.",сервиса negative <sep> официантка negative,"As for the service, the waitress forgot about us at the beginning;",service negative <sep> waitress negative
30368,id_9,"Но минус тоже присутствует, коллега под конец вечера захотела десерт и остановила свой выбор на сорбете, но узнав что за 150 рублей она получить 50 гр, то есть один шарик слегка расстроилась.",сорбете negative,"But there is also a minus, a colleague at the end of the evening wanted a dessert and opted for a sorbet, but having learned that for 150 rubles she would get 50 grams, that is, one ball was slightly upset.",sorbet negative
