review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
32584,id_11,"The layout of the restaurant is well thought out, the music is very pleasant and muted.",Layout positive <sep> music positive,4-10 <sep> 54-59,"Планировка ресторана продумана отлично, музыка очень приятная и приглушенная.",Планировка positive <sep> музыка positive
32513,id_8,The manager is not present.,Manager negative,4-11,Управляющего на месте нет.,Управляющего negative
36512,id_6,"Beautiful interior, comfortable soft chairs and sofas, calm pleasant music!",interior positive <sep> sofas positive <sep> music positive,10-18 <sep> 48-53 <sep> 69-74,"Красивый интерьер, удобные мягкие кресла и диванчики, спокойная приятная музыка!",интерьер positive <sep> кресла positive <sep> диванчики positive <sep> музыка positive
12467,id_4,"The waitresses are all in beautiful uniforms, very friendly.",Waitresses positive,4-14,"Официантки все в красивых формах, очень приветливые.",Официантки positive
35635,id_14,"Unfortunately, we did not understand what was happening with the restaurant, it is a pity that the proper level is no longer there and we will have to look for a new favorite restaurant.",restaurant negative,65-75,"К сожалению, мы так и не поняли, что происходит с рестораном, жаль, что должного уровня уже нет и придется искать новый любимый ресторан.",рестораном negative
33598,id_9,"Compliments from the chef, salads, snacks, hot dishes are original and magnificent.",Compliments from the chef positive <sep> salads positive <sep> snacks positive <sep> hot dishes positive,0-25 <sep> 27-33 <sep> 35-41 <sep> 43-53,"Комплименты от шеф-повара, салаты, закуски, горячие блюда оригинальны и великолепны.",Комплименты от шеф-повара positive <sep> салаты positive <sep> закуски positive <sep> горячие блюда positive
11793,id_11,"The service is good, but sometimes they bring everything at once: both sushi and soup and dessert.",Service neutral,4-11,"Обслуживание хорошее, но иногда приносят все сразу: и суши и суп и десерт.",Обслуживание neutral
16274,id_6,"I liked the service, they brought everything quickly enough, the used plates did not linger on the table, the waiters served everyone promptly, I specifically followed them))), I just wanted to compare the reviews with reality, it turned out that the reviews were wrong, although maybe I was just lucky, that's all ",Service positive <sep> waiters positive,12-19 <sep> 110-117,"Обслуживание мне понравилось ,достаточно быстро все принесли,на столе использованные тарелки не задерживались ,официанты всех оперативно обслуживали ,я специально следила за ними ))),просто хотелось сравнить отзывы с реальностью ,оказалось отзывы были ошибочными ,хотя может мне просто повезло,и все же я туду еще пойду.",Обслуживание positive <sep> официанты positive
32856,id_5,"In the kitchen: I really liked the halibut with spinach, we have never seen such a tender halibut anywhere, I was impressed by the salad of baked vegetables)) basically everything pleased me, I left happy and well-fed.",halibut with spinach positive <sep> halibut positive,35-55 <sep> 35-42,"По кухне: очень понравился палтус со шпинатом, такого нежного палтуса мы нигде не встречали, впечатлил салат из запеченых овощей)) в основном все порадовало, ушли довольные и сытые.",палтус со шпинатом positive <sep> палтуса positive <sep> салат из запеченых овощей positive
280,id_2,The first thing that caught my eye was the polite staff.,staff positive,50-55,"Первое, что бросилось в глаза - вежливый персонал.",персонал positive
17475,id_4,"They were greeted normally (there was no smile on the face of the administrator), they were escorted to the table.",administrator neutral,66-79,"Встретили нормально (никакой улыбки на лице администратора при этом не было) ,проводили к столу.",администратора neutral
22386,id_7,"I had to pay at the counter, the waitress never brought the bill.",waitress negative,33-41,"Рассчитываться пришлось на стойке, официантка так и не принесла счет.",официантка negative
20784,id_10,"Of the minuses (for me this is not a minus), there is no separate room for smokers, well, perhaps the staff is a little annoying (although for me this is just right).",staff neutral,102-107,"Из минусов (для меня это не минус), нет отдельно зала для курящих, ну и возможно персонал немного назойлив (хотя по мне так в самый раз).",зала для курящих neutral <sep> персонал neutral
3480,id_3,"Business lunch is not the cheapest in comparison with other restaurants, but the quality corresponds to the price completely !!!",Business lunch neutral <sep> Business lunch positive,0-14 <sep> 0-14,"Бизнес-ланч по сравнению с другими ресторанами не самый дешевый,но качество цене соответствует полностью!!!",Бизнес-ланч neutral <sep> Бизнес-ланч positive
36381,id_14,The kitchen is really good.,Kitchen positive,4-11,"Кухня, действительно хороша.",Кухня positive
3236,id_2,"In my opinion, new dishes should be added to the menu at least once a year so that people are interested in trying something new.",menu negative,49-53,"На мой взгляд, в меню нужно добавлять новые блюда хотя бы раз в год, чтобы людям было интересно попробовать что-то новое.",меню negative
