review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
152,3027,Enabling the battery timer is useless.,battery timer negative,Habilitar el temporizador de la batería es inútil.,temporizador de batería negative
1907,2571,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size positive <sep> size positive,"Recibo un montón de cumplidos por su tamaño, y hablando como alguien que viaja regularmente en un autobús, puedo dar fe del hecho de que esta es la computadora del tamaño perfecto si está restringido al ancho de su cuerpo para la sala de computación.",Talla positive <sep> Talla positive
35,2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing positive,"Emparejarlo con un iPhone es un puro placer, habla de sincronización indolora, solía llevarme una eternidad, ahora es muy fácil.",sincronizando positive
774,523,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers positive <sep> subwoofer positive,Supongo que lo único bueno que salió de estos fueron los altavoces y el subwoofer.,Altavoces positive <sep> subwoofer positive
1030,2319,With Windows laptops a wireless mouse is an absolute must.,wireless mouse neutral,"Con las computadoras portátiles con Windows, un mouse inalámbrico es una necesidad absoluta.",ratón inalambrico neutral
488,146,I hate the display screen and I have done everything I could do the change it.,display screen negative,Odio la pantalla de visualización y he hecho todo lo posible para cambiarla.,pantalla de visualización negative
438,2435,I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard negative,Me decepcionó cuando me di cuenta de que el teclado no se ilumina en este modelo.,teclado negative
1970,1481,It is extremely portable and easily connects to WIFI at the library and elsewhere.,connects to WIFI positive,Es extremadamente portátil y se conecta fácilmente a WIFI en la biblioteca y en otros lugares.,se conecta a WIFI positive
688,2797,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd negative,"Ah, y si eso no es lo suficientemente malo, no viene con un CD de recuperación, por lo que puede hacer uno si sabe cómo hacerlo o comprar uno si lo compra, el costo es de $ 25 por dos CD.",cd de recuperación negative
2574,62,They should have included more memory on their computers if they knew Vista would run slowly.,memory negative <sep> Vista negative,Deberían haber incluido más memoria en sus computadoras si supieran que Vista funcionaría lentamente.,memoria negative <sep> Vista negative
1727,1028,Or the cursor would show up some place else.,cursor negative,O el cursor aparecería en otro lugar.,cursor negative
140,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use positive <sep> service positive <sep> phone assistance positive <sep> genius bar positive,"Su facilidad de uso y el mejor servicio de Apple, ya sea su asistencia telefónica o hasta la barra de genios, es inmejorable.",usar positive <sep> Servicio positive <sep> asistencia telefónica positive <sep> barra de genio positive
2948,845,"Long story, but after many calls to various  offices, I was told that no one can override the depot and that managers  don't take phone calls or e/mails.",depot neutral,"Larga historia, pero después de muchas llamadas a varias oficinas, me dijeron que nadie puede anular el depósito y que los gerentes no aceptan llamadas telefónicas ni correos electrónicos.",deposito neutral
2808,2783,Was not happy with one of the programs on it.,one of the programs negative,No estaba contento con uno de los programas.,uno de los programas negative
1068,2902,"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access positive,También he descubierto que es muy fácil poder acceder al acceso inalámbrico a Internet;,acceso inalámbrico a internet positive
1704,2677,"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",software options negative <sep> applications negative,"Al igual que con cualquier computadora portátil que no se haya comprado con opciones de software, viene con muchas de las aplicaciones que considero inútiles.",opciones de software negative <sep> aplicaciones negative
953,2261,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications positive <sep> iPhoto positive,"Las aplicaciones de Apple (por ejemplo, iPhoto) son divertidas, fáciles y realmente geniales de usar (a diferencia de la competencia).",Aplicaciones de Apple positive <sep> iPhoto positive
661,2077,The screen shows great colors.,screen positive <sep> colors positive,La pantalla muestra grandes colores.,pantalla positive <sep> colores positive
2146,290,"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price neutral,"Sé que hay computadoras portátiles mucho mejores por el mismo precio, y por qué gastar dinero en mierda cuando puedes salir y comprarte una computadora portátil perfectamente decente que no sea una mierda.",precio neutral
1943,2188,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life positive,"Recomendaría esta computadora a cualquiera que busque la computadora portátil perfecta, y la duración de la batería es increíble.",duración de la batería positive
2032,639,-I propose that I can just swap the hard drives.,hard drives neutral,-Le propongo que pueda simplemente intercambiar los discos duros.,unidades de disco duro neutral
2952,153,"The screen is huge and coloful, but no LED backlighting.",screen positive,"La pantalla es enorme y colorida, pero no tiene retroiluminación LED.",pantalla positive
3012,2299,You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,surfing the web positive,"Puedes hacerlo todo con este chico malo, pero lo principal para lo que se diseñó este netbook fue navegar por la web y chico o chico lo hace siempre.",navegando en la web positive
2927,2431,"This is an over-sized, 18-inch laptop.",18-inch negative,Esta es una computadora portátil de gran tamaño de 18 pulgadas.,18 pulgadas negative
1225,1706,My main reason to convert was the imovie program.,imovie program positive,Mi principal razón para convertirme fue el programa imovie.,programa imovie positive
1121,1493,""">  iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto positive,"""> iPhoto es probablemente el mejor programa con el que he trabajado: fácil y conveniente.",iPhoto positive
477,379,I loaded windows 7 via Bootcamp and it works flawlessly!,windows 7 positive <sep> Bootcamp positive,¡Cargué Windows 7 a través de Bootcamp y funciona perfectamente!,ventanas 7 positive <sep> Campo de entrenamiento positive
647,756,PC never worked right even after BIOS fixed.,BIOS negative,La PC nunca funcionó bien incluso después de que se corrigió la BIOS.,BIOS negative
2999,2898,The Toshiba Satellite has been more than I expected for the price.,price positive,El Toshiba Satellite ha sido más de lo que esperaba por el precio.,precio positive
2586,1892,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,warranty negative,Compré esta netbook después de que mi computadora portátil Toshiba original fallara justo después de que expirara la garantía.,garantía negative
1521,2512,There is nothing to complain about the system.,system positive,No hay nada de qué quejarse del sistema.,sistema positive
1705,2588,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",features neutral <sep> functioning neutral <sep> programs neutral <sep> Office positive,"Es compatible con Office, pero las características y su funcionamiento son completamente nuevos nuevamente, por lo que también puede ahorrar dinero y simplemente aprender los programas mac preinstalados.",características neutral <sep> marcha neutral <sep> programas neutral <sep> Oficina positive
312,2632,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS positive,"Pensé que aprender el sistema operativo Mac sería difícil, pero es fácil de aprender si estás familiarizado con una PC.",Mac OS positive
2871,1018,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,repair technician positive,"En el pasado, tenía una computadora portátil Dell y me enviaron los artículos que necesitaba o enviaron a un técnico de reparación a mi casa para que la arreglara.",técnico de reparación positive
247,2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume negative <sep> mouse negative,Desearía que el volumen pudiera ser más alto y que el mouse no se rompiera después de solo un mes.,volumen negative <sep> ratón negative
1846,2653,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors negative <sep> edge negative <sep> edges negative,"El pro es un gran producto, desearía que los modelos de 13 pulgadas vinieran con los procesadores Intel i y tuvieran un borde más cómodo (los bordes me lastiman las muñecas).",Procesadores Intel i negative <sep> borde negative <sep> bordes negative
84,2492,Amazing Quality!,Quality positive,¡Calidad asombrosa!,Calidad positive
822,2460,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming positive <sep> use positive,"Ha tenido un buen uso para mis finanzas, programación, gastos comerciales de mis padres, y definitivamente es increíble para los juegos.",juego de azar positive <sep> usar positive
1791,753,Took several hours with customer support before I could even start the PC out of the box.,customer support negative,Me tomó varias horas con el servicio de atención al cliente antes de que pudiera siquiera iniciar la PC de fábrica.,Atención al cliente negative
485,1336,So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,after sales support negative <sep> look positive,"Entonces, ¿qué pasa si las computadoras portátiles / teléfonos móviles se ven elegantes y geniales? ",Soporte post-venta negative <sep> Mira positive
2045,1564,The display is awesome.,display positive,La pantalla es impresionante.,monitor positive
618,2290,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock positive <sep> program neutral <sep> program positive,"Me encanta el dock donde simplemente puedo colocar un archivo encima de un programa en particular, y el programa simplemente abrirá ese archivo.",muelle positive <sep> programa neutral <sep> programa positive
942,2419,It is easy to go from one keyboard to another.,keyboard neutral,Es fácil pasar de un teclado a otro.,teclado neutral
